Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Ulei de rapita Eldorado,900,0,100,0,0,
Ulei de soia Valsoia,900,0,100,0,0,1 sticla = 750 ml
Ulei de susan Crudolio,820,0,92,0,0,1 sticla = 500 ml
Ulei din nuca de cocos Adams,889,0,93.3,0,0,1 cutie = 500 ml
Ulei din samburi de struguri,884,0,100,0,0,
Ulei din samburi de struguri Monini,828,0,93,0,0,
Ulei din seminte de in Solaris,830,0,92.3,0,0,1 sticla = 100 ml
Ulei extravirgin masline Filipo Berio,822,0,91.3,0,0,
Ulei floarea soarelui Argus,828,0,92,0,0,
Ulei floarea soarelui Unisol,900,0,100,0,0,
Ulei masline extra virgin Zeus,822,0,91.3,0,0,
Ulei masline extravirgin Olitalia,819,0,91,0,0,
Ulei masline Omega 3-6 Costad'Oro Olisana,828,0,92,0,0,
Ulei pur de nuca de cocos Chapman Farms,600,0,70,0,0,1 lingura supa = 20 g
Ulei rafinat de floarea soarelui Proxi,828,0,92,0,0,1 sticla = 1 l
Ulei rafinat de floarea sorelui Papas Olio,820,0,92,0,0,
Ulei samburi struguri Olitalia,819,0,91,0,0,
Ulei soia,884,0,99.8,0,0,
Unt  40% Central Lechera Asturiana,373,2.2,40,0.1,0,
Unt 40% nesarat President ,379,0.8,40,4,0,
Unt 60% grasime Zuzu,542,0.2,60,0.4,0,
Unt 65% Butterfly Meggle,596,1.3,65,1.4,0,
Unt 65% Covalact,590,0.8,65,0.4,0,
Unt 65% Prodlacta,588,0.5,65,0.2,0,
Unt 75% Kaergaarden eco.,680,0.5,75,0.6,0,
Unt 80%  eco Thise,717,0.5,80,0.5,0,
Unt 80% Premio Unicarm,722,0.2,80,0,0,
Unt 81% eco Ollingegaard,730,0.5,81,0.5,0,
Unt 82% Auchan,742,0.8,82,0.3,0,
Unt 82% fara sare Lurpak,750,0.6,82,0.7,0,1 pachet = 200 g
Unt 82% Napolact,739,0.1,82,0.1,0,
Unt 82% Raraul Albalact,738,0.2,82,0.4,0,
Unt 82% usor sarat Lurpak,740,0.6,82,0.7,0,1 pachet = 200 g
Unt Arias,754,0.6,83,1,0,
