Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Ketchup picant La Minut,32,0.7,0,7.1,0,
Ketchup Tomi Light,37,1,0.1,8,3,
Maioneza Calvè,630,1,69,1,0,
Maioneza cu usturoi Heinz,250,1.5,21.6,12.4,0,
Maioneza cu usturoi si ierburi Deluxe,720,1,78,3.5,0,
Maioneza de casa Polimark,540,1.8,58,2.6,0,1 tub = 500 g
Maioneza Hellmann's,692,0,77,0,0,
Maioneza Ligeresa,70,0.7,3,10,0.6,
Maioneza light Hellmann's,215,1,20,7,0,
Maioneza light Mikado,475,0.7,50,3,0,
Maioneza Nane,581,8.8,60.2,1.4,0,
Mustar bayerisch susser Hausmacher Senf,186,5.9,2.4,33.3,0,
Mustar clasic Olympia,90,3.9,4.5,7,0,1 lingurita = 7 g
Mustar Delhaize,137,6.5,9.5,6.5,0,
Mustar Dijon Duc De Coeur,162,8,11,6,0,185ml
Mustar dulce Carrefour,108,5.5,5.8,8.4,0,1 cutie = 175 g
Mustar dulce Olympia,96,3.8,4.1,10.8,0,1 borcan = 300 g
Mustar fin K-Classic,102,5.6,5.3,7.3,0,1 tub = 490 g
Mustar Papalito extra,79.5,3.8,4.3,5.2,3.7,
Otet de mere cu miere marca 365 Mega Image,9,0,0,2.4,0,
Pasta anginare Lidl Delux,370,1,39,1.4,0,1 borcan = 180 g
Pasta de ardei iute Univer Piros Arany ,36,2,1,4.6,0,
Pasta de masline Fora,293,2.5,28.7,6.3,2.7,
Pasta de masline negre Fora Party,293,2.5,26.7,6.3,2.7,
Pasta de rosii Pomi,26,1.3,0.2,4,1.5,
Pasta de susan tahini Baktat,653,22,55,15,5,
Pasta de tomate K Clasic Kaufland,22,1.3,0.2,3,0,
Pasta susan tahina Al Amier ,658,27,58,1.9,0,1 borcanel = 125 g
Pesto alla Genovese Delizie dal Sole,390,4.3,38,5.7,0,1 borcan = 190 g
Rosii cubulete in suc propriu Ortonio,23,1.2,0.3,3,0,
Rosii pasate Fioccini,25,1.2,0.2,4,0,
Salata tzatziki greek style Eridanous,123,4,8.8,6.9,1.4,1 cutie = 250 g
Samba sauce Hellmann's,370,0.7,32,19,0,
Sos alb pentru kebab Chovi,515.8,1.6,53.1,6.9,0,
Sos alla bolognese iSughitti,94,4.5,5.4,6.8,0,1 borcan = 420 g
Sos arrabiata Baneassa,61,1.8,3.2,6.5,0,100
Sos Bbq Dia,119,0.2,0,29,0,
