Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Bomboane de ciocolata cu crema caramel Laura,475,2.6,19.1,71.2,0,1 bomboana = 8 g
Bomboane de ciocolata cu prune uscate Bucuria,336,2.8,9.6,61.1,0,1 bomboana = 14 g
Bomboane de ciocolata cu rom Rum Kokos Bella,480,3.5,22.5,60.7,0,
Bomboane de ciocolata cu umplutura de alune Baci,570,8.5,39.1,42.7,6.8,1 bomboana = 15 g
Bomboane de ciocolata Fazermint,435,2.4,18,67,0,1 buc = 8 g
Bomboane de ciocolata Galaxy Minstrels,503,5.2,22.2,70.5,1.1,"1 bomboana = 2,5 g"
Bomboane de ciocolata Milka Lila Collection,550,7.5,35,51,0,
Bomboane de ciocolata Smarties Mini Nestle,466,4.2,17.9,72.1,0,1 cutie = 14.5 g
Bomboane de mestecat caramele cu fructe de padure Fritt,480,2,11,92,0,1 lama = 10 g
Bomboane Duet Bucuria,424,3,14.6,70.1,0,
Bomboane Ferrero Rocher,582,8.8,41.9,42.3,0,1 buc = 11.3 g
Bomboane Griliaj Bucuria,513,5.4,28,66.5,0,
Bomboane gumate Juise Blast Mentos,174,0,0,73,0,1 cutie = 60 g
Bomboane Lindor Truffles Lindt,611,5.5,47.2,44.4,0,1 bomboana = 12 g
Bomboane M&M cu alune,516,9.8,26.8,59,2.8,1 buc = 2 g
Bomboane mentolate Proxi,388,0.3,0.2,96.3,0,
Bomboane Nu-ma-uita Bucuria,411,3,18.6,64.6,0,1 bomboana = 17 g
Bomboane Poiana Suchardine,470,5.1,21.5,63.5,1.9,1 bomboana = 10 g
Bomboane prune Frutic,364,0.1,94.4,0.1,0.1,1 buc = 7g
Bomboane Raffaello Confetteria,628,7.2,48.6,38.3,0,1 bomboana = 10 g
Bomboane Solano frisca si capsuni,261,0.2,0,92.3,0,10 bomboane=28.5 gr
Bomboane Vara Bucuria,381,0,0.7,93.8,0,1 bomboana  = 13 g
Bomboane Winterfresh mints ,246,0,1,98,0,"1 buc = 1,75 g"
Briosa cu crema de caise Boromir,326.1,3.6,3.4,70.3,0,1 briosa = 40 g
Briosa Piccolina cu crema de vanilie Boromir,344.3,4,7.3,65.6,0,1 briosa = 40 g
Briose cu cacao si incluziuni de ciocolata Vivienne,333,6.1,19.5,33.4,0,1 bucata = 70 g
Briose cu fulgi de ciocolata McEnnedy Lidl,419,5.4,24.1,43.9,0,1 buc = 75 g
Briose keto cu fulgi de ciocolata si nuci,277.3,15.1,21.8,4.8,1.4,rezulta 12 buc
Briose keto the best,230,10.4,18.3,7.8,2.7,1 briosa = 40 g
Brownie cu proteine MyProtein,383,30,13,35,2.7,1 buc = 75 g
Budinca caramel Ligeois Zott,98,1.5,2.5,17.3,0,1 pahar = 175 g
Budinca cremoasa bio Sahne Andechser natur,163,3.5,9.2,16.5,1.4,1 buc = 150 g
Budinca cu gust de ciocolata belgiana Premium pudding Dr. Oetker,115,3.3,3.5,17.4,0,1 portie =153 g
Budinca de ciocolata cu sos de ciocolata  K-Classic,103,2.8,2.1,17.9,0,
Budinca de ciocolata Tnuva,121,3.2,3.6,19,0,
Budinca de gris cu sos de cirese Muller,118,2.5,2.3,21.8,0,1 cutie = 450 g
Budinca de vanilie Bebivita,95,3.1,3.2,13.5,0,1 cutie=100 g
Budinca desert din ciocolata Grand Dessert Ehrmann,113,2.9,2.2,20.5,0,1 pahar = 125 g
Budinca dietetica de vanilie Pudding Dr. Oetker,78,3.6,2.6,9.3,0,1 cutie = 150 g
Budinca preparata cu gust de ciocolata Dr. Oetker,108,3.1,3,16.4,0,
Cacao fara zahar Valor,311,25.5,16,16.3,31.7,1 lingura = 10 g
Caramel Pecanbon Cinnabon,540,7,25,73.5,1.5,1 buc mic = 200 g
Caramele Babyfruct Sugus,327,3.5,0,77.1,0,
Caramele dietetice Schoko Toffees,344,2.7,19,66,39,1 buc= 10g
Caramele Racusori Bucuria,400,3,6,90,0,
Cascaval maturat 15 zile Muller,307,22,23,3,0,
Cereale cu ciocolata Cocoa Flakes Cereals Viva,404.5,7.8,3.7,83,4,1 punga = 250 g
Cereale cu vanilie Vanilla Cereal Snacks Stilla Natura,469,7,19,66,3,1 punga =  150 g
Chec,384,6.4,17.6,53.5,0,
Chec cu gust de lime Firenze,414,5.1,20.8,52.1,0,1 buc = 600 g
Chec Siluette Savurs si Sanatos Cora,343.7,6,11.1,54.8,0.9,
Cicolata 72% cacao Noir cu afine si migdale Delhaize,561,8,45,31,12,1 tableta = 100 g 
Cicolata neagra Baron,521,5.7,32.2,52.2,0,1 buc = 300 g
Ciocolata  65 % cacao Schogetten,537,9.4,35,39,0,1 patratel =  5.6 g
Ciocolata 50% cacao Stilla Dolce,493,6.4,27,52,8.4,
Ciocolata 70% cacao si menta Anidor,578.5,9.4,40.3,42.3,0,1 buc = 100 g
Ciocolata 70% cacao Weinrichs 1895,575,6.7,46.3,27.6,10.7,"1 patratica = 10 g,"
Ciocolata 70% cu caramel Ecuador,536,6.5,37.1,39.4,0,1 cioco = 125 g
Ciocolata 70% Moser Roth,568,7.7,42.3,33.5,11.4,1 ciocolata = 125 g
Ciocolata 72% cacao Anthon Berg,580,7,45,31,0,1 bucata = 100 g
