Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Iaurt bifidus cu musli Oly,86,5.5,2.2,10.9,0.4,1 pahar = 125 g
Iaurt bifidus Natura,45.2,3.2,3.5,3.5,0,
Iaurt Bifidus Snack Omega 3 Zuzu Danone,80,5,3.3,7.5,0.8,
"Iaurt Bio 1,8% Lassi Andechser",60,4.7,1.8,6.2,0,
"Iaurt bio 3,8% Edeka",77,5,3.8,5.2,0,1 cutie =150g
"Iaurt Bio 3,8% Napolact",63,3.4,3.8,3.7,0,1 buc = 140 g
"Iaurt Bio Natur 3,4% Spar",69,4.1,3.4,5.4,0.5,1 cutie = 125 g
"Iaurt bio1,5% Sobbeke Fettarmer",59,5.6,1.5,5.7,0,1 buc = 150 g
Iaurt Boni 2.8%,60,3.2,2.8,4.5,0,1 pahar = 150 g
Iaurt capsuna delicioasa Yoplait,113,4,3.6,16.2,0.2,1 pahar = 125 g
"Iaurt capsuni 2,3% Delicios NutriDay Danone",84,3.3,2.3,12.5,0,1 buc = 400 g
iaurt capsuni Korn Joghurd mild,98,3.2,2.7,14.8,0.2,1 cutia = 250 g
Iaurt carnaval Tnuva Yoplait,103,4.5,3,14.4,0,1 pahar = 125 g
Iaurt chef de capsuni si banane Yoplait Tnuva,111,3.6,3,17.4,0,1 pahar = 150 g
"Iaurt cirese 3,2% Bodensee",112,3.8,3.2,17,0,
Iaurt cirese piure Muller,94,3.2,1.4,16,0,1 cutie = 125 g
"Iaurt Corner 3,8% Muller",106,4,3.8,13.2,0.4,1 cutie = 150 g
Iaurt crema di frutta piersici 5% fructe Muller,96,4.1,1.4,16,0,1 cutie = 125 g
Iaurt cremos 6% Napolact,84,3.6,6,4,0,1 cutie = 140 g
"Iaurt Cremoso 4,1% Danone",81,4.6,4.1,4.1,0,1 cutie mica = 125 g
"Iaurt cu afine 0,1% bio Andechser",79,4.4,0.1,14.9,0.7,1 buc = 180 g
Iaurt cu afine Muller Mix,109,3.9,3.5,14.8,0,1 pahar = 150 g
"Iaurt cu ananas 1,1% Jogobella Light Zott",60,4,1.1,8.4,0,1 pahar = 150 g
"Iaurt cu aroma de caise 1,4% Boni",79,2.5,1.4,14.2,1,
Iaurt cu bucati de mure si zmeura Muller,105,3,3.6,14.5,0.7,
"Iaurt cu capsuni 1,5%  Fulga",70,3.2,1.5,11,0,1 buc = 125 g
"Iaurt cu capsuni 1,9% Danone Delicios",81,3,1.9,13,0,1 pahar = 125 g
"Iaurt cu capsuni 3,6% Pezzi Di Frutta Muller",111,2.9,3.6,16.1,0,1 buc = 150 g
Iaurt cu capsuni Casa Buna Danone,71,2.7,1.4,12,0,
Iaurt cu capsuni si fulgi de cereale Activia Mic Dejun Danone,181,7.2,4.7,27.6,1.8,1 buc = 150 g iaurt + 18 g topping
"Iaurt cu cereale 1,8 % Tnuva Slim",88,4.3,1.9,12.5,2,1 cutie = 185 g
Iaurt cu cereale glazurate cu ciocolata 6% Yoplait,144,5,6,3.7,0,1 pahar = 137g iaurt
Iaurt cu cereale si goji Yogofiber Fru Fru,134.3,4.5,6.3,15.5,1.5,1 pahar = 220 g
Iaurt cu cocos Activia Zi de Zi Danone,83,3.7,1.9,12.9,0,1 cutie = 120 g
Iaurt cu cocos si migdale Cremoso Danone,117,3.9,5.6,12.8,0,
Iaurt cu dulceata de nuci verzi Napolact,114,3,2.5,20,0,1 buc = 200 g
Iaurt cu fructe,74,3.5,2,10.3,0,
"Iaurt cu fructe 0,1% Zottis",79,2.1,0.1,17.3,0,1 pahar = 150 g
Iaurt cu fructe de padure Zuzu,70,3.2,1.5,11,0,
Iaurt cu fructe exotice fara lactoza Savia Danone,53,4.2,1.9,3.3,2,1 cutie = 125 g
Iaurt cu gust de vanilie Activia,83,3.7,1.9,12.9,0,1 cutie = 125 g
