Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Migdale intregi Stilla Natura,623,24.1,54.1,10,0,1 punga = 500 g
Migdale macinate Aldi,619,24,53,5.7,0,
Migdale maruntite Poex,601,27,50,16,11,1 punga = 100 g
Migdale prajite cu sare Fine Food,661,21.2,54,18,9,1 punga = 50 g
Migdale prajite Nutline,644,25.9,55.4,10.6,0,1 punguta = 50 g
Migdale prajite Soltino,610,18.4,54.2,12.1,0,
Migdale uscate decojite Peyman Dor Leo,597,22.1,52.8,19.3,0,1 punga = 40 g
Miiez de nuca Farmer,619,24.1,59.3,9.6,0,1 cutie = 175 g
Mix 4 seminte Inima Naturii,561,24,41.2,13.6,9,
Mix berry & nuts Mani,430,13.5,22.7,40.6,4,1 punga = 50 g
Mix de alune Carrefour,600,18.2,43,21.9,9,1 punga = 150 g
Mix de nuci crude Clever,587.9,20.7,43.1,24.9,0,
Mix de nuci Deluxe Lidl,700,17.4,62.6,12.4,0,1 punga = 200 g
Mix de seminte si fructe Tentatii Dulci Solaris,530.8,20.8,36.7,36.6,10.3,
Mix nuci coapte si sarate Caputo,604,23.3,53.6,18.2,8.6,1 cutie = 200 g
Mix seminte SanoVita,578,22,46,11,12.3,1 punga = 150 g
Muguri de pin ,708,14,68,12,5.7,
Mustar Cio,507,25.8,34.7,30.2,16.8,1 cutie = 50 g
Nuca de cocos rasa Alex,456,2.9,27,50.3,9.8,
"Nuca de cocos, proaspata",354,3.9,33.5,15.2,9,
Nuci,654,15.2,65.2,13.7,6.7,
Nuci Brazilia crude Carrefour,693,17.4,66.3,3.3,0,1 punga = 200 g
Nuci braziliene Clarkys,695,16,67,3.6,6.7,
Nuci braziliene Earth Control,680,14,66,5,7.5,1 punga = 140 g
Nuci braziliene Pronat,656,13.4,66.4,12.2,7.5,
Nuci de Amazonia Mega Image,691,14.1,68.2,3.1,4.3,1 nuca = 2-3 g
Nuci de brazilia ecologice Bio Natur,656,14.3,66.4,12.3,7.5,1 punga = 150 g
Nuci de grenoble Cedar,642.8,14.2,64.2,17.8,3.5,
Nuci macadamia,718,7.9,75.8,13.8,8.6,
Nuci macadamia crude Fruit Orchard,745,8,74,12,4,1 punga = 500 g
Nuci Macadamia Deluxe,769,8.9,77.9,5.3,0,
Nuci macadamia prajite si sarate,716,7.8,76.1,12.8,8,
Nuci macadamia Sainsbury's,739,9.1,76,4.7,5.2,
Nuci macadamia Sunssnacks Hofer,748,8.5,73,5.5,3.3,1 punga = 125 g
Nuci pecan Auchan,722,9.2,72,4.5,9.6,
Nuci pecan Degustation Cora,740,10.8,73.8,3.8,8.5,
Nuci pecan Harlem,740,9.2,72,4.3,9.6,
Nuci pecan Real,703,9.3,72,4.4,0,1 punga = 100 g
Pasta de susan tahini Darine,210,6,18,3,3,1 cutie = 454 g
Pufuleti cu cascaval Star,528,4.3,32,54,3.9,
Rondele de orez K-Classic Kaufland,377,7.6,3,78,3.7,1 pachet = 130 g
Samburi caise Pirifan,589,23,46.9,12.4,10,1 punga = 200 g
Seminte  de susan Tezorum,644,22,55.9,7.4,3.9,
Seminte albe de floarea soarelui x,639,27.8,55,3.5,0,1 punga = 40 g
Seminte crude floarea soarelui raw Gardis Lidl,590,19,48,17,3,1 punga = 500 g
Seminte de canepa naturale Canah,621,30,51,5,7.4,
Seminte de chia  Fruit Orchard,490,21,31,7,37.8,
Seminte de chia negre Nutrisslim,444,21.2,31.4,4.9,33.7,
Seminte de dovleac,538,27,45,13,3.9,
Seminte de dovleac All Green,541,25,45,18,4,
Seminte de dovleac crude Pirifan,595,30.2,49.1,4.7,6,1 punga = 200 g
Seminte de dovleac decojite crude Nutribon,419,24,31,9,4,1 punguta = 100 g
Seminte de dovleac decojite Orlando's,416,24,31.5,9,3.9,1 punga = 250 g
Seminte de dovleac prajite cu sare Djili Soy,537,24.9,40.3,8.8,19.5,1 punga mica = 50 g
Seminte de dovleac prajite si sarate Elmas,613,35.1,47.4,13.4,3.9,1 punga = 100 g
Seminte de dovleac prajite si sarate Ubernuts,489,28.8,35.1,9,11.3,1 punga = 150 g
Seminte de floare miez Jasmin,612.4,18.6,50,22,8.6,1 punga = 500g
Seminte de floarea soarelui albe Nutline,418,15,26,8,10,1 punga = 100 g
Seminte de floarea soarelui Cernica,620,20.7,55.6,4.3,0,1 pachet = 90 g
Seminte de floarea soarelui crude 365,564,21.2,49.4,17.6,14.1,1 punga = 250 g
Seminte de floarea soarelui crude Elmas,578,22.7,51,2.2,0,1 punga = 500 g
Seminte de floarea soarelui crude si decojite Granovit Alfa-Beta,570,22.8,49.6,18.8,10.5,1 punga = 200 g
Seminte de floarea soarelui cu sare Nota 11,479,18.3,32.1,13.1,0,
Seminte de floarea soarelui decojite Tezorum,622,20.7,55.6,4.1,4.5,1 punga = 200 g
Seminte de floarea soarelui decorticate Rumina Nuts,610,21,55.1,4.1,0,1 punga = 500 g
Seminte de floarea soarelui fin sarate Fiesta Natura Line,597,22.1,48.1,18.9,8.2,
Seminte de floarea soarelui Grivas,620,20.7,55.6,4.3,0,
Seminte de floarea soarelui negre fara sare Elmas,568,18.4,42.3,18.5,20.4,
Seminte de floarea soarelui prajite albe Elmas,434,16.5,27.5,50,39.8,1 punga = 55 g
Seminte de floarea soarelui prajite cu sare Nutline,325,10.8,28.2,13.8,0,1 punga = 60 g sau 150 g
Seminte de floarea soarelui prajite fara sare Solaris,572.5,20.7,52.9,3.4,0,
Seminte de floarea soarelui prajite si sarate Metropolitan Play,459,18.1,33.5,24.6,17.1,1 punga =100 g
Seminte de floarea soarelui Sanovita,575,22.5,49,12.3,0,1 punga = 150 g
Seminte de floarea soarelui Stilla Natura,582,19,48,17,3,
Seminte de floarea-soarelui Aanovita,575,22.5,49,12.3,16.1,1 punga = 150 g
Seminte de in Alnatura,471,28.8,30.9,19.4,38.6,1 punga = 500 g
Seminte de in auriu bio Bauckhof,496,20.5,36.3,11.2,21.4,
Seminte de in Biomania,516,21,40.5,5.5,22.9,1 punga = 500 g
Seminte de in Fruit Orchard,530,18.3,42.2,28.9,27.3,
Seminte de in macinat John Vince,500,20,34,34,28,
Seminte de in Pirifan,568,15,45,18,40,
Seminte de in SanoVita,568,15,45,18,0,
Seminte de in Vitalia,560,20,40,30,27.3,1 punga = 100 g
Seminte de mac Pirifan,520,18,41.6,8.6,19.5,
Seminte de pin,571,23.2,50,14.3,5.4,
Seminte de pin Farmer's Snack,706,14,69,4,6.3,1 punga = 75 g
Seminte de susan,573,17.7,49.7,23.5,11.8,
Seminte de susan crude Pronat,573,17.7,49.7,23.5,11.8,
Seminte de susan Inima Naturii,650,21.5,58,0.8,7.9,1 punga = 100 g
Seminte de susan Orlando's,631,20.5,53.2,11.7,11,1 punga = 50 g
Seminte de susan SanoVita,592,20,55,0.6,12,1 punga = 100 g
Seminte decojite de floarea soarelui K-Clasic,630,20,52,19,0,1 ounga = 100 g
Seminte decojite de floarea soarelui Stilla Natura,590,19,48,17,3,1 punga = 100 g
Seminte decorticate de canepa Adio Grasime,567,30.6,47.2,10.9,9,
Seminte dovleac bio Anglamark Coop,600,30,49,8,0,
Seminte dovleac decojite crude Fine Foods,423,24,31,9,4,1 punga = 250 g
Seminte dovleac Harley,273,12,21,8,3,1 punga = 30 g
Seminte dovleac prajite si sarate Fiesta,596,29,47,15,3.9,
Seminte floarea soarelui coapte si sarate Orlando's,405,14,32,10,10.5,1 punga = 200 g
Seminte floarea soarelui decojite crude Fruit Orchard,540,25,45.8,17,3.9,1 lingura = 15 g
Seminte floarea soarelui decojite Fruit Orchard,592,20,51,3.1,10.6,1 punga = 200 g
Seminte floarea soarelui decojite prajite fara ulei Carrefour,582,25,46,15,0,1 punga = 100 g
Seminte floarea soarelui Djili,648,24.6,54.4,10,0,1 punga = 60 g
Seminte floarea soarelui prajite Elmas,682,24.2,58.8,11.1,5.9,
Seminte floarea soarelui Solei,479,18.3,32.1,13.1,0,1 punga =70 g
Seminte floarea soarelui Sonnen B.K.,580,22.5,49,12.3,6.3,
Seminte gigante aguasal Hacendado,570,18.2,45.5,17.3,9,
Seminte in NaturTierra,546,22,38,29,27.3,
Seminte mac Carrefour,520,19.5,40.8,18.7,10,
Seminte negre de floarea soarelui cu sare Nutline,461,16,35,2.7,1.3,1 punga = 40 g
Seminte negre de floarea soarelui prajite fara sare Nutline,474,20.3,33.8,40.8,37.2,1 punga = 110 g
"Seminte negre de floarea soarelui prajite, fara sare Lidl",660,24,59,3.5,9.3,1 punga = 100 g
Seminte pentru salata Solaris,573,20.6,50.8,21,13.1,
"seminte pestrite floarea soarelui,sarate si prajite California Lidl",292,9,24,9,1.2,1 punga = 200 g
Seminte pin Irma,630,13,56,19,0,1 punga = 75 g
Seminte prajite pestrite de floare soarelui Mogyi,291,9,24,9,2,1 punga = 60 g
Seminte Snack Mix Delhaize,490,11.3,29.7,43.1,6.2,1 pachet = 50g
Seminte susan Fruit Orchard,702,20.4,61.2,11.7,11.6,1 punga = 200 g
Unt de alune de padure crocant Solaris,681,17,66,6,9.4,1 borcan = 250 g
Unt de arahide MCennedy Crunchy Lidl,620,26.1,50,13.3,0,
Uruiala seminte de in Alnatura,471,29,30,19,38,
Alune,567,26,49,16,8.5,
Alune crude Horeca,704,15.4,61.3,17.8,10.1,1 punga = 1 kg
Alune cu paprika Best,620,28,50,14,0,1 punga mica = 50 g
Alune de padure Auchan,588,18.8,52.3,8.6,15.1,
