Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Miere de salcam Cora,335,0.4,0.2,81,0,
Miere naturala poliflora Auchan,326,0.4,0,81,0,
Miere poliflora Mos Costache Lidl,330,0.4,0,80,0,
Milk shake cu ciocolata Gerlinea,676,43,18,84,4,1 plic = 30 g
Mucenici Multipast,351,11,1,71,3.4,1 punga = 200 g
Mustar cu hrean Knorr,125,5,8,9,0.5,1 lingurita = 10 g
Mustar Dijon Tesco,165,7.8,11.2,8.2,3.6,
Mustar dulce Maggi Moments,103.2,5.7,5,9.2,0,
Nuca de cocos Jasmin,592,5.2,52.8,24,15.6,1 punga = 100 g
Nuggets pui Sadia,319,18,19,19,0,1 buc = 23 g
Orez cu fructe de mare chinezesti,83,2,0,19,0,
Orez semipreparat paella Scotti,141,3.8,3,24.7,2.2,1 cutie = 250 g
Otet balsamic,67,0,0,13.3,0,1 lingurita = 5g
Otet balsamic Borges,97,0.2,0,19,0,1 sticla = 250 ml
Otet balsamic Kalamata,29,0,0,7,0,
Otet de nuci Cora,2,0,0.2,0.5,0,
Otet din vin alb Clever,20.4,0,0,5,0,
Otet otet de mere Raureni,6,0.6,0,3,0,
Paella Dujardin,107,5.8,0.9,19.8,0,
Paella Frosta,150,6.6,5.6,18.2,0,
Parizer vegetal cu legume Cris-Tim,216.6,10.4,14.7,10.7,0,
Pasta de arahide Geimex,637,28,53,11,0,1 borcan = 350 g
Pasta de humus facuta in casa,241,7.1,18,13.9,4.9,100 grame pasta = 3 linguri cu varf
Pasta de masline kalamata Mega Image,250,2.2,24,8.3,0,
Pasta de susan (tahina) Durra,692,25,60,12,3,1 lingurita = 5g
Pasta de susan tahini Darinne,697,21.5,60.6,13.6,1.2,
Pasta de tomate,85,5.4,0,15.4,0,
Pasta tomate Price,86,4.5,0.3,16.3,0,1 cutie = 800 g
Paste cu legume Helices,334,12,2,67,0,
Paste din faina Konjac Angel Hair,9,0.2,0.1,0.6,2.8,1 punga = 250 g
Paste fainoase fusilli Giovanni,334,13.9,0.1,71.3,0,1 punga = 400 g
Paste Konjac Shirataki Dukan,9.6,0.1,0,2.3,2.2,1 pachet = 200 g net
Pate carne de pasare si de porc Baroni,187,7.8,14.7,0,0,1 cutie = 160 g
Pate de ciuperci Alnatura,204,7.3,15,10,0,1 cutie = 125 g
Pate de foie gras Cora,353,10.5,34,1.3,0,1 cutie = 78 g
Pate de porc Ardealul,196,9,16,4,0,
Pate de porc Baroni 200 g,185,11,13.9,4,0,
Pate de porc clasic Mandy,174,8.3,13.5,5.7,0,1 curie =120 g
Pate de porc Life Style Hamme Slim-Fit,125,9.8,6.9,6.8,2.3,
Pate de post Saltempo,282.3,3.4,28.2,1.5,0,
Pate de pui Via,292,12.4,25.7,2.8,0,1 borcan = 130 g
Pate din ficat de porc Antefrig,267,9,24,3.5,0,
Pate pasare Clever,153,11.9,9.5,5,0,
Pate porc Clever,192,11.4,14.7,3.6,0,
Pate pui Carrefour,138.3,9,9,5.3,0,1 cutie neta = 100 g
Pate tartinabil Picnic Carniprod,243,13,21,0,0,100 gr per produs
Pate vegetal ardei gras Mandy,276,3,27.5,5,0,
Pate vegetal Bucegi,243,3.7,24.3,2.3,0,1 cutie = 100 g
Pate vegetal cu ardei Baroni Lidl,170,3,13,10,5,1 Cutie = 120 g
Pate vegetal cu ciuperci Hame,255,3.6,26,3.7,0,1 cutie = 75 g
Pate vegetal cu ciuperci Sibiu,217,11.1,17.3,4.2,0,
Pate vegetal cu spanac Sibiu,286,5.1,29.2,0.7,0,1 cutie mica = 120 g
Pate vegetal Meniu,234,7,20.5,5.5,0,1 pate mic = 100 g
Pateuri cu carnaciori Puff Pastry Lidl,361,7.9,23.3,29,1.6,1 bucata = 25 g
Pesto Cirio,416,4.1,41.2,6.3,0,1 borcan = 190 g
Piure castane congelat Tati Termeloszovetkezet,219,3.4,1,50.4,0,1 pachet = 250 g
Piure de cartofi instant cu gust de pui Rollton,377,10.5,3.8,75.3,0,1 plic =  40 g
Piure de mar cu cereale Hipp,57,0.7,0.5,12.5,1.4,1 borcan = 190 g
Piure mere 365,81.7,9.2,2.2,6.2,0.1,
Placinta cu branza si leurda,200.8,15.1,9.8,12.2,0,o portie  =100 gr
Pliculet cafea cu menta Jacobs Ice Coffee,425,8.8,15,62.5,0,1 plic = 12 g
Porumb cu chili Bonduelle,76,2.2,1,13.1,3,
Porumb popcorn Elmas,351,9.3,4.1,72.7,6.9,1 punga = 200 g
Praf de budinca cocos Original Puding Dr. Oetker,105.8,2.9,3,16.6,0,
Praf de copt,0,0,0,0,0,
Praf de frisca Dr. Oetker,177,3.3,9.7,19,0,1 plic = 48 
Preparat instant cu fidea si gust de pui Fidelicios,404,7.2,18.4,52.4,0.1,1 portie = 350 ml
Pudra de cacao De Zaan,201,22,11,11.5,32,1 punga = 1 kg
Pudra de cacao Schmidt,358,19.8,20.7,8.8,27.9,
Pudra de roscove Sano Vita,222,4.6,0.7,43,0,1 punga = 250 g
Pui cu ciuperci chinezesti,84,7,4,5,2,
Pui picant cu alune chinezesti,130,12,5,11,3,
Rasol salau,88,17.1,1.2,0,0,
Ravioli cu ciuperci Giovanni Rana,259,9.6,7.5,36.7,0,1 cutie = 250 g
Rondele din orez expandat Monte Banato,384,8,2,82.6,2,1 felie = 9 g
Salam vegetal afumat Aivia,127,16.7,4.4,5.2,0,1 tub = 250 g
Salam vegetal cu ardei Cris-Tim,158.5,12.8,6.5,12.2,0,
Salam vegetal cu masline Cris-Tim,158.5,12.8,6.5,12.2,0,
Salata a la rousse Mega Image,141,1.7,10.6,9.6,2.2,1 cutie = 250 g
Salata ardei capia cu usturoi Mega Image,69,1.1,4.5,5.7,1.7,1 caserola = 250 g
Salata casei Toppo Lidl,70,0.5,3.9,7.2,2,1 cutie = 300 g
Salata cu icre de hering cu ceapa Carrefour,584,2,64,0.8,0,
Salata cu ton Sandwich Time ,86.4,7.7,2.6,8.8,1.4,1 cutie = 270 g
Salata de ardei copti cu usturoi Toppo Lidl,50.2,0.8,3,5,0,
Salata de ciuperci cu maioneza Vico Delicatessen,160,4.6,12.8,6.6,0,1 caserola = 200 g
Salata de humus Curry Vernada,280,5.8,21,18.4,17.7,1 cutie = 250 g
Salata de icre cu ceapa Carrefour,551,2,59.8,1.1,0,
Salata de oua,185.2,8.7,15.5,2.2,0,
Salata de ton mediteraneana Neptun,104,7.6,6,4.8,0,1 conserva = 180 g
Salata de ton mexicana Neptun,126,9.1,5.5,10,0,1 conserva = 180 g
Salata de vinete cu maioneza 365 Mega Image,192,6.5,19.1,4.5,2.5,
Salata de vinete si ardei copti Toppo Lidl,70.7,1.1,6.3,2.4,0,
Salata humus Carrefour,240,6.3,17,13.5,0,1 cutie = 250 g
Salata humus Vico,188,2.8,17.5,5,0,1 cutie mica = 250 g
Salata mediteraneana Sandwich Time,109,3.3,7.4,10,1.4,1 cutie = 280 g
Salata tzatziki Vico Delicatessen,170,2.9,15.1,5.7,0,1 caserola = 200 g
Sarmale de post Mega Image,53.4,7.8,1.6,1.7,0,1 cutie = 300 g
Sirop agave Urtekram eco,300,0,0,75,0,
Sirop de agave Sunny Bio,310,0,0.5,76,0.5,1 sticla = 250 g
Smantana vegetala de gatit  Hulala Gran Cucina ,202,2.2,20,3,0,1 cutie = 200 g
