Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Crackers fara sare Colussi,441,11.2,12.2,69.8,3.6,1 biscuite = 6 g
Crackers vegani cu susan si condimete 5 To Go,450,6.1,20.7,64.9,0,1 punga = 100 g
Crantanele cu sare Fiesta,530,1.9,32,58,1.4,1 punga = 50g
Croissant simplu Ikea,460,9,24,52,0,1 croissant = 50 g
Fibrobar cu ceai verde Winny,395,25.7,17.2,31.7,5.4,1 baton = 50 g
Galete porumb bio Mega Image,391,5.6,1.4,89,1.5,1 buc = 8 g
Grisine Circus,413,12.3,4.2,81.5,0,1 grisina = 2 g
Grisine cu aroma de smantana Pavi,267,8,7.2,42,0,
Grisine cu branza Pavi,265.2,8.4,7.6,41.8,0,1 punga = 75 g
Grisine cu mac Mega Image,129,12.8,4.4,9,0,
Grisine cu sare Boromir,327,9.6,5,61,0,
Grisine cu seminte de susan si mac Sfornatini,422,11.8,13.5,61,4,1 pachet = 200 g
Grisine cu tarate de grau Mega Image,88,1.2,7.8,2.2,0,
Grisine cu tarate si ulei de masline Crispy Goodies May Day,440.9,20.4,12.8,61.1,0,1 punga = 180g
Grisine cu ulei vegetal si untua Roberto,400,12,8,70,0,1 cutie = 250 g
Grisine graham Pavi,319,10,5.9,62.9,2,1 punga = 75 grame
Grisine mari Crispy,85.5,5.5,4.3,5.8,1.3,
Grisine simple Pavi,227.7,8.4,7.7,41.9,0,1 grisina = 2 g
Guma de mestecat fara zahar cu mente Wrigley's Doublemint,173.3,0,0,2,0,1 pastila = 2.7 g
Mexicorn cu sare Mogyi,445,7.4,12,75.9,0,1 punga = 70 g
Migdale coapte si sarate Nutline,637,21,54,13,0,1 punga = 150 g
Mix fructe deshidratate si migdale Fitness Mix Nutline,399,8.5,15,57.4,0,1 punga = 150 g
Nachos cheese Doritos,503,7.2,26.3,57.4,3.7,1 punga mica = 85 g
Napolitane Sfogliatine Balocco,538,6.5,32,56,2,1 buc = 10 g
Nuci macadamia Mega Image,749,18.5,75,4,0,1 punga = 60 g
"Pesmeti  din paine de grau si secara,cu gust de icre rosii de somon Flint",365,10.3,11,58.6,0,
Popcorn cascaval Chio Micro,446,8,23,47,0,1 punga = 80 g
Popcorn cu aroma de unt Micro pop Mogyi,463,8.2,12.1,53,0,1 punga = 100 g
Popcorn cu sare Chio,476,8.8,24,55,2.6,1 punga mare = 125 g
Popcorn cu unt pentru microunde Chio,414,8.3,18.5,49.5,8.5,1 pachet = 80 g
Popcorn fara ulei,397,12,4.2,77.9,0,
Popcorn pentru microunde Chio,432,8.3,18.6,58,0,
Popcorn pentru microunde cu sare Chio,444,8.1,20.7,56.4,0,
Porumb de floricele Winny,360.5,10.6,4.9,68.5,0,1 pumn de popcorn = 5 g
Porumb prajit cu sare Orlando's,640,24,55,13.2,12,1 punga = 500 g
Porumb prajit MisterCorn,448,8,24,50,3,1 punga = 140 g
Pudra cacao 1% grasime Dukan,239,24.9,1,11.7,37,1 lingurita = 5 g
Pufuleti Buggy Auchan,437,7.5,9.1,80.8,1,1 punga = 30 g
Pufuleti Buggy Matias,435,7.5,9.1,80.8,3.8,1 punga = 100 g
Pufuleti cu branza Duffy,405,5.7,12.8,64,0,1 punga = 35 g
Pufuleti cu cascaval Gusto,582,5.7,41.1,46.7,1.2,1 punga = 30 g
Pufuleti cu glazura de ciocolata Buggy Matias,507.5,7.3,22.1,66.2,0,1 punga = 50g
Pufuleti cu lapte Buggy Auchan,210.6,6.3,8.4,26,1.3,
Pufuleti cu sare Star Foods,440,7,16,66,2.6,1 punga = 85 g
Pufuleti cu ulei si sare Gusto,449,6.4,13.8,74.8,0.5,1 punga = 45 g
Pufuleti Flippy Baia Mare,395,7.1,6.5,77,0,
Pufuleti ketchup si cascaval Star,484,4.3,24,61,4.4,1 punga = 80 g
Pufuleti Ni Cool E,518,7.2,27,59.4,0,1 punga = 60 g
Pufuleti simpli,431.7,8.6,13.8,67.7,0,1 punga = 40 g
Pufuleti simpli Speedy,456,6.2,18.5,63.3,0,1 punga = 35 g
Pufuleti Star Snacks Star Foods,480,7.5,30,46,6.5,1 punga = 37 g
Rondele orez expandat Riso Scotti,367,8.3,1.3,79.9,1.3,1 buc = 8 g
"Sandwich cu branza feta, cascaval, ardei copt Branzarella Green Up Papa Verde",286,8.3,13,32,0,1 buc = 250 g
"Sandwich cu salam uscat, pastrama de porc, crema de branza cu smantana Meat Me Green Up Papa Verde",298,7.5,14.5,32.6,0,1 buc = 195 g
Saratele branza cu mucegai blue cheese crackers Mega Image,244,9.4,2.1,46.8,0,1 punga = 100 g
Saratele chimen Giprod,326,10.3,3,74.2,74.2,1 punga = 70 g
Saratele cu branza Circuss,373,13.7,6.8,62.7,0,
Saratele cu ceapa si smantana Eldi,353,9.3,3.8,68,0,1 punga = 100 g
Saratele Fornetti,260,8.2,6.4,39.7,0,
Seminte dovleac coapte cu sare Fine Life,476,24.3,32.8,6.3,0,
Snack din porumb cu sare Star Snacks StarFoods,500,5,27,59,3,1 punga mare = 54 g
