Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Suplimente MioFusion Probiotic Gaspari Nutrition,437.5,69.4,8.3,14,2.7,1 cupa = 36 g
Suplimente Muslebuilder Celltech,310,0,0,77,0,
Suplimente Myprotein Impact Whey Protein,393.2,78.4,6.8,6,0,1 scoop - 30g
Suplimente Nitro Core 24,416,49.9,10.4,29.1,10.4,
Suplimente Nitro Tech Hardcore Muscletech,390,75,4.5,9,3,0
Suplimente Nutri Star Size Pump,303.3,0,0,75.6,0,
Suplimente Omega-3 Premium Fish Oil Madre Labs,666.6,0,66.6,0,0,2 pastile = 3 g
Suplimente Optimum Platinum Hydrowhey,356,77,2.7,5.3,1,1 masura =  39 g
Suplimente Platinum HydroBuilder,358,67.5,3.8,11.1,4.3,1 portie = 50 g
Suplimente Pro Gainer Now Foods,358,19.4,6.6,61,1.4,
Suplimente Pro protein Biotech,388,30,9.2,46,2.6,1 baton = 60 g
Suplimente Pro Whey Pro Nutrition,399,62,8.4,18.6,0,
Suplimente proteic Super Mass Gainer Dymatize,384,15,2,75,0,
Suplimente proteice Fit Up Pro Nutrition,320,60,3.3,10.6,0,1 cupa = 30 g
Suplimente proteice whey protein Zero Carb Zero Fat Isobest,425,100,0,0,0,1 masura = 22 g
Suplimente Protein Weider NSP,249,34,0,15,0,1 portie = 30 g
Suplimente Proteinmix R Redis,364,85,0.8,4,0,1 portie = 50 g
Suplimente Pure Whey Protein fara aroma Bulk Powders,393,82,6.6,6,0,1 masura = 25 g
Suplimente QNT Protein 92,373,88.1,1.3,2.1,0,
Suplimente Rapid Mass Natural Plus,391,21,0.8,68,0,
Suplimente Rich Vanilla Dymatize Elite XT,378,66,4.8,19,7,1 masura = 33 g
Suplimente Simply Whey MHP,406,68.8,6.2,18.8,1.5,1 masura =  32 g
Suplimente Super Mega Mass 2000 Weider,347,20,0.8,64,0,
Suplimente ulei de peste Optimum fish oil,1000,0,100,0,0,
Suplimente vanilie QNT Metapure Q2,394,80,4.9,13,0,1 masura = 33 g
Suplimente Volumaize BSN,80,0,0,20,0,0
Suplimente Whey Core 100 Nutrend,370,76.4,4.8,5.1,0.5,
Suplimente whey pro Natural Plus,402,80,6,20,5,
Suplimente whey protein concentrate 82% fara aroma Bulkpowders,393.3,82,6.7,6,0,1 cupa = 30 g
Suplimente Whey Protein Isolate Pro Nutrition,373.9,85.9,1.8,3.5,0,1 masura = 25 g
Suplimente Whey Trilogy Vitabolic,388,70,7,13,1,1 cutie = 2.0 Kg
Supllimente Muscle Infusion Black Nutrex,372.6,67.5,6.8,8.1,0,
Tarate de psyllium,360,0,0,80,80,1 lingurita = 3 g
Tarate de psyllium SanoVita,166,7.6,5.2,20.6,32,1 lingurita = 3 g
Tarate psyllium Fruit Orchard,186,2.5,0.5,4,78,1 punga = 200 g
True Mass BSN,435,34.4,0,52.5,3.4,1 portie = 145 g
Ulei de in organic Now Foods,806,0,90,0,0,
Ulei germeni de grau Now Foods,792,0,89,0,0,
Ultra whey protein shake whey Build Everbuild Nutrition,394,67.7,6.5,16.1,3.3,"1 punga = 2,2 kg"
Vegan Protein 71% Power-Tech,410,71,5,24,7.5,
Whey Premium Protein Nutritech,385.4,71.9,0.6,2.6,0,1 cupa = 30 g
Whey Protein Complex 100% Olimp Nutrition,389.7,75,6.5,7.8,0,
Whey protein isolate Now Sports,364,76,2,6,6,
Whey protein vanilla flavor Scitec Nutrition,389,73,8,6.3,0,
WPI vanilie Proutrition,373.9,85.9,1.8,0,0,1 cupa = 25 g
XL Protein Bar 26% proteine cu banana Pure Nutrition USA,363,26,10.6,43,0.3,1 buc = 80 g
100% Casein Protein Gold Standard,343.8,75,1.6,9.4,3.1,1 portie = 32 g
100% Whey Gold Standard Optimum Nutrition,375,82.5,2.9,4.5,0,1 cupa = 30.4 g
100% whey Nutrend Deluxe,372,73.2,5.2,7.3,1.6,1 cupa = 30 g
100% whey protein ciocolata si cirese Nutrend,370,74.1,4.7,6.4,3.2,2 cupe = 30 g
Amidon din porumb cerat MyProtein,353,0,0,88,0,
Amino 6000 Dymatize,300,30,0,0,0,
Aminoacizi lichizi Nutrend,133,31,0,0,0,
Anabolic protein Pro Nutrition,247.2,47.5,3.7,4.2,1,1 masura = 30 g
Batoane hiperproteice Aptonia,335,30,12,26,20,1 baton = 25 g
Baton Atkins Chocolate Coconut ,425,12.5,30,47.5,22.5,1 baton = 40 g
