Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Branza vaci 20% Kaufland,133,15.5,5,6.5,0,1 cutie  = 275 g
"Branza vaci dietetica 0,1% vrac Raraul",80,17,0.1,3,0,
Branza vaci Oke,148,15,6,7,0,1 punga = 500 g
Branzica Cottage Cheese Delicia Prodlacta,96,13,4,2,0,1 cutie = 200 g
Branzica de casa cu fructe de padure Covalact,118,10,5,8,0.7,1 cutie =180 g
Branzica de casa miere si nuci Covalact de tara,124,9.3,5,10.5,1.8,1 cutie = 180 g
Branzica de casa usoara 2% Covalact,78,12.3,2,2.7,0,1 pahar = 180 g
Branzica fina aerata cu capsuni Danone Frutmania,121,4.8,4,16.2,0,1 pahar = 125g
Branzica fina cu caise Danone Activia,106,5.2,2.9,14.8,0.6,
Branzica proaspata cu smantana Pilos,101,11,5,3,0,1 cutie = 200 g
Branzica si smantana Ceva fin cu masline Delaco,105,10.9,4.9,5,0.2,1 cutie = 200 g
Brie Naturalny President,357,17,32,0.2,0,
Bulgarasi de branza cu smantana Covalact,104,12,5.5,1.5,0,1 cutie = 180 g
Buric de cascaval Lacto Panait,322,23.9,24,0.4,0,1 bucata = 700 g
Camembert Rahm,336,19,29,0,0,
Cas de vaca,254,24.3,16,2.8,0,1 felie = 50 g
Cas Solomonescu,270,20,17.7,7,0,
Casacaval Mooshirchner,359,29,17,10,0,
Cascaval  felii Burlander Milram,347,26,27,0,0,1 felie = 23 g
Cascaval  Tine ,351,27,27,0,0,
Cascaval 16% Linessa,260,29,16,0,0,1 felie = 35 g
Cascaval afumat,353,22.3,27.3,1.9,0,
Cascaval afumat Cora,343,22.3,27.3,1.9,0,
Cascaval afumat Five Continents,301,26,21,2,0,1 pachet = 500 g
Cascaval afumat Harlau,296,25.1,20,4.6,0,
Cascaval afumat Hochland,332,24,26,0.5,0,
Cascaval afumat Lidl,259,26,15,0,0,
Cascaval afumat natural Delaco,327,24,25.5,0.3,0,
Cascaval afumat Romfulda,300,22,23,1,0,
Cascaval afumat Vidraru Milli,298,20,22,5,0,
Cascaval Alm Koenig,333,24,26,0,0,
Cascaval Beclean,283,22,20.8,1,0,
Cascaval Bobalna Napolact,305,25,21,0,0,
Cascaval Buledino,310,23.9,23.1,1.7,0,1 bucata = 300 g
Cascaval capra Five Continents,330,24,25,2.3,0,
Cascaval Cedar clasic Hochland,403,25,33,1,0,
Cascaval clasic din lapte de vaca Napolact,349,25,27,1.5,0,1 pachet = 450g
Cascaval clasic feliat Josi,329,23,26,0.5,1,1 felie = 20 g
Cascaval clasic Five Continents,320,18,22,13,0,1 buc = 300 g
Cascaval clasic Raraul,305,23,23,1,0,1 pachet = 250 g
Cascaval cu chimen,225,30.5,10,1.6,0,
Cascaval cu masline negre Bluedino Lidl,321,22,25,2,0.1,1 buc = 400g
Cascaval Dalia Carrefour,317,22,25.2,0.5,0,100g
Cascaval Dalia de la Covalact De Tara,299,22,23,1,0,1 pachet = 400 g
Cascaval Dalia Ibanesti,322,22,24.5,1,0,
Cascaval Dalia Primalact,233,2.8,23,3.8,0,1 pachet = 150 g
Cascaval de bivolita Rustic Eurolact,391,26,27,1,0,1 pachet = 300 g
Cascaval de capra Rustic Eurolact,275,25,27,2,0,1 pachet = 300 g
Cascaval de familie Delaco,314,26,23,0.5,0.5,1 pachet = 400 g
Cascaval de oaie Dobrogea Five Continents,360,20,25,13,0,
"Cascaval de vaca ,capra si oaie Formadel",399,22,34.5,0.5,0.5,
Cascaval de vaca Cobilita,273,20,21,1,0,1 rotita mica = 200 g
Cascaval de vaca light Carrefour,268,20,16,13,0,
Cascaval Delia Bluedino,344,26,26,1.4,0,
Cascaval din lapte de vaca 365,322,22,24.5,1,0,
Cascaval din lapte de vaca Lacto Food,327,23,26,0.5,0,
Cascaval Dobrogea,423,28.6,32.4,1,0,
Cascaval Dobrogea Five Continents,360,20,25,13,0.7,
Cascaval Edam No 1 Carrefour,327,23,26,1,0,
Cascaval edamer felii Jermi,311,26,23,0.1,0.1,1 cutie = 150 g
Cascaval Emmental 365,369,22.7,28.2,1,0,
Cascaval Emmental Francais Cora,372,28,28,2,0,1 pachet = 250 g
Cascaval emmentaler Delaco,355,28,27,0,0,
Cascaval Emmentaler Milbona Lidl,388,30.5,29.5,0.1,0,1 pachet = 400 g
Cascaval Emmetaler Goldsteig,383,30,28.5,1.5,0,
Cascaval feliat emmentaler Hochland,344,19,28,4,0,
Cascaval feliat Gouda Hochland,356,23,29,0,0,
Cascaval felii lightlife Leerdamer,271,29.5,17,0.1,0,1 felie =20 g
Cascaval forma pizza Viotoros,320,8,28,10,0,
Cascaval Gouda feliat Frico,348,23,28,0,0,1 pachet = 150 g
Cascaval Gouda Lindenhof,356,24.1,28.8,0,0,1 felie = 33 g
Cascaval goudafelii Milbona Lidl ,361,25,29,0.1,0.1,
Cascaval grana padano Valbonta,384,33,28,0,0,
Cascaval Hochland Clasic felii,328,23,26,0.5,0,
Cascaval K-Clasic,300,24,22,1.5,0,1 buc = 300
Cascaval Leerdammer Original,358,27,28,0.1,0,1 felie = 25 g
Cascaval light Leerdaner,273,31,16.5,0,0,
Cascaval low fat Hajdu,315,27.9,23,1.5,0,
Cascaval maturat Bluedino,310,23.9,23.1,1.7,0,
Cascaval mini Babybel,304,22,24,0.2,0,1 buc = 22 g
Cascaval Napolact Cedra ,340,25,26,2,0,100g
Cascaval natur Hochland,314,24,24,0.5,0,1 bucata = 200 g
Cascaval Penteleu Gurdon,298,22,22,0.4,0,
Cascaval Penteleu ProdLacta,266,23,19,0.7,0,
