Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Cafea dark and rich Illy,28,0.4,0,5.9,0.4,1 doza = 200 ml
Cafea espresso,2,0.1,0.2,0,0,
Cafea frappe Original Nescafe,392,14.5,4.2,73.3,0,1 plic = 18 g
Cafea instant 3 in 1 Good morning Jacobs,427,3.2,13.5,73.5,0,"1 plic = 11,5 g"
Cafea Jacobs 3 in 1 alune de padure,400,3.7,13.5,66,0,1 pliculet = 12 g
Cafea Jacobs 3 in 1 intense,407,3,12.6,71.2,0,1 plic = 13.5 g
Cafea Latte machiato Dolce Gusto,39,1.9,3.6,1.9,0.1,1 cafea = 220 ml
Cafea Lavazza Crema e Gusto,12,0.9,0,2,0,
Cafea Lavazza Rossa,12,0.8,0,2,0,
Cafea Milka cappuccino Jacobs,415,7.6,12.5,68.5,3.5,1 plic = 18 g
Cafea Nescafe Frappe,397,6.9,8.4,73.5,0,
Cafea Nescafe frappe cu aroma de peppermint,397,11.5,8.2,66.8,0,1 pliculet = 11 g
Cafea solubila Amigo,222.2,11.1,0,44.4,0,1 lingurita = 2-3 g
Cafea White Chocolate Mocha cu lapte 3.5% Gloria Jeans,101,2.5,4.3,13,0,1 cana medie = 324 ml
Caffe Latte cu lapte degresat Starbucks,37.5,3.5,0,5.4,0,Tall 
Campari bitter,267,0,0,27,0,
Cappuccino Creamy instant La Festa,444,2,13.3,79,0,"1 plic = 12,5 g"
Cappuccino fara zahar,369,10.9,14.7,48.3,0,1 cutie = 250 g
Cappuccino GranArom Lidl,383,11.7,9.3,61.2,2.8,1 cutie = 200 g
Cappuccino McCafe McDonald's,45,3,2,4,0,1 capuccino mic = 200 g
Cappuccino Natural Hacendado,410,8.3,16.5,55.2,3.6,2 Linguri = 13.2 g
Ceai,0,0,0,0,0,1 ceasca = 50 g
Ceai fructe padure Lipton,4,0.5,0,0.5,0,
Ceai verde Haceando,23.6,0.1,0.1,5.7,0.1,
Ciocco latte Dr.Oetker,103.3,3.7,3.4,14.4,1.1,1 portie =175 g
Ciocolata calda dark Hot Chocolatta La Festa,373,6.8,5.6,78.4,5.4,1 plic = 25 g
Ciocolata calda la plic La Festa,391,5.3,5.4,77.6,5.1,1 plic = 25 g
Coca-cola,42,0,0,10.6,0,
Coca-Cola Zero,0.2,0,0,0,0,
Coffee light Frappuccino Starbucks,44.1,0.4,0.2,10.1,0,
Coniac 40%,239,0,0,0.1,0,
Doncafe IceCoffee Mint,369,19,1,71,0,1 pliculet = 11 g
Energizant berry Burn,45,0,0,10.8,0,1 cutie = 250 ml 
Energizant light CrazyWolf,3.7,0.1,0.1,0.1,0,
Energizant tropical XS Amway,2,0,0,0.5,0,0
Fanta cu gust de zmeura si fructul pasiunii,43,0,0,10.6,0,1 sticla=2.5 L
Fanta portocale,46,0,0,14.6,0,
Fanta portocale Zero,2.6,0,0.4,0,0,
Freddo cappucino Dolce Gusto,314,15.2,5.1,45.4,11.9,
Gin,263,0,0,0,0,
Ice Coffee Jacobs,415,7.7,11.5,70.5,0,1 plic = 18g
Ice Tea ceai verde light Sun Gold,0.9,0.1,0.1,0.1,0,
Ice Tea Green Tea Mint Lipton,28,0,0,6.9,0,
Ice Tea Lemon San Benedetto,34,0,0,8,0,
Ice Tea Nestea Lamaie,32,0,0,7.5,0,
Ice Tea piersici light Sun Gold,0.9,0.1,0.1,0.1,0,
Ice tea Swiss cannabis C-Ice,30,0,0,7.5,0,1 cutie = 250 ml
Ice Tea zmeura Lipton,20,0.5,0.5,4.6,0.5,
Inlocuitor de cafea solubila Orzo Casa Blanca,363,6.8,0,79,9.1,
Jack Daniels,222,0,0,0,0,1 shot = 42 g
Kaffee Latte Macchiato Muller,82,3.3,2.9,9.8,0,
Lapte cu cacao si alune de padure Pilos,87.9,3.6,2.3,13.2,0,1 sticla = 240 ml
Lapte de cocos Leader Price,243,2,25,2.6,0,
Lapte de migdale neindulcit Alpro,13,0.4,1.1,0.1,0.4,
Lapte de soia cu ciocolata Soya Choco Provamel,83,3.8,2.4,11.2,0,
Lapte de soia si orez Sole Natura,50,2.4,2.3,4.9,0,1 cutie = 1l
Lapte din soia aroma de portocale Inedit,36,1.7,1.4,4.1,0,1 sticla = 750 ml
Lapte din soia Soyaccino Sanitarium,57,3.1,1.5,7.7,0.1,
Lapte orez si migdale Joya,73.3,0.8,0,12.5,0.6,1 cutie = 1 l
Lapte soia light Alpro,27,2.1,1.2,1.6,0.9,
