Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Faina de secara Pirifan,323,9,1.3,67.8,7.7,1 punga = 1000 g
Faina de seminte de in Herbavit,274,25.6,18,9,38,
Faina de soia Pirifan,450,18,18,54,0,1 punga = 250 g
Faina din soia Solaris Plant,372,46.5,6.7,37.9,10.2,1 punga = 500 g
Faina Eroski,331,10.5,1.2,69.6,5.5,
Faina integrala,339,13.7,1.9,72.6,12.2,
Faina integrala de grau ecologica Natura Land,347,14.2,1.8,66.8,2.4,
Faina integrala de ovaz Pirifan,378,14.6,1.6,64.3,0,o cutie=500g
Faina integrala din grau Moara Maria,338.4,14.6,2,62.8,5.4,1 punga = 1 kg
Faina integrala din ovaz Sanovita,388,14.4,6.8,64.3,4,
Faina integrala grau intreg 7 Spice Vel Pitar,328,12.6,2.2,73.2,12.8,1 punga = 1 kg
Faina neagra de grau Boromir,347,10,1.1,74.4,0,
Faina neagra Rivercote Lidl,228,7.7,0.2,47.3,4.8,
Faina pentru paine multicereale Premix  Vitalbrot,316,13.9,6.8,53.1,0,1 punga = 1000 g
Faina pentru painte integrala de casa Dobrogea,224,7.9,0.9,44,0,1 punga = 400 g
Farfalle integrale Barilla,350,13,2.5,65.7,0,
Felii cereale cu seminte Linia Velt Rommac,392,8.7,2.5,83.5,0,1 felie = 5 g
Felii crocante cu secara Stilla Fitness,374,9.2,2.6,78.9,9.5,1 felie = 8 g
Felii crocante de secara si seminte de susan Casino,365,11,8.6,52,20,1 felie = 10 g
Felii crocante integrale Burger,341,10.5,4.5,54.2,21,1 felie = 9 g
Felii din cereale cu seminte Agapy,326,12.8,2.3,63.4,10.3,1 pachet = 35 g
Fibre mix fitness Pirifan,385,14.6,16.4,29,30,1 punga = 200 g
Fidea cuiburi Gata,350,11,0.7,75,0.6,1 pachet = 200 g
Fidea de orez Binh Tay,372,6,0,84,0,1 punga = 300 g
Flugi ovaz Noe,354,13,6.2,62.5,9,
Foi de lasagna Barilla,366,13.5,4,67,4,1 foaie = 42 g
Foi lasagna Monte Banato,353,11,1,75,5,
Fulgi cereale integrale Ballu's Rommac,373,7.8,2.9,78,4.3,
"Fulgi crocanti cu capsuni, zmeura si visine Nutrisslim",347,11.1,2,71.2,10.9,1 punga = 300 g
"Fulgi cu cereale integrale si orez, cu fructe Rommac",362,6,2.3,79,4.3,1 punga = 250 g
Fulgi de cacao Viva,400,7.5,3.7,82,4.3,
"Fulgi de cereale (grau, secara, ovaz,porumb,orz) Sanovita",325,11.3,3.2,61.8,10,
Fulgi de cereale Integrale Distins 3S Super Slim Siluet,406,9.9,2.7,85.6,6,1 punga = 500 g
Fulgi de drojdie inactiva Sunlit,384,46.4,4.2,40.2,0,1 punga = 200 g
Fulgi de grau cu miere si caramel Hero,370,8,1.5,81,0,1 punga = 150g
Fulgi de grau cu vitamine Sanovita,334,10.8,2.4,67,11.6,1 cana = 50 g
Fulgi de grau integral cu fibre si pudra de cacao Linia Velt,340,8.7,2,75.4,7,
Fulgi de grau Noe,317,11.6,1.6,56.3,9,
Fulgi de grau Sanovita,301,11.7,1.8,59.6,0,
Fulgi de grau wheat flakes Kaufland,304,12,1.6,56,9,1 punga = 500 g
Fulgi de mei SanoVita,388,8,3,80,3.8,1 punga - 250 g
Fulgi de orez integral Granovit,351,7.6,1,75.8,4,
Fulgi de orz,386,14.4,6.8,64.3,15.5,
Fulgi de orz Crispy Barley SanoVita,374,8.1,0.9,80,5.8,1 punga = 250 g
Fulgi de orz SanoVita ,338,10.4,1.4,71,10,
Fulgi de ovaz Apti Auchan,375,14,7,59,11,
Fulgi de ovaz Baby Eco,377,11.1,7.1,61.5,11.5,
Fulgi de ovaz bio Alnatura,372,13,7,59.1,10.2,100g
Fulgi de ovaz Carrefour ,354,14.9,7.6,56.5,9.5,
Fulgi de ovaz Crispy Oat SanoVita,352,15,7,56,12.3,1 punga = 250 g
Fulgi de ovaz cu miere Quaker Oat so Simple,366,8.4,6.2,68.7,6.8,
Fulgi de ovaz fara aditivi sau conservanti Solaris,246,17,7,60.6,15.4,1 punga = 400 g
Fulgi de ovaz Fortin,375,10,7,59,14,
Fulgi de ovaz integral Solaris,359,12.7,6.1,63.5,0,
Fulgi de ovaz K-Classic,373,13,6.9,68,7.2,1 punga = 500 g
Fulgi de ovaz Mercanti,372,13,7,59.1,10.2,
Fulgi de ovaz NaturTierra,371,12,7,65,4,
Fulgi de ovaz Pirifan,367,13.5,7,57,8.7,
Fulgi de ovaz Quaker,356,11,8,60,9,1 punga = 500 g
Fulgi de ovaz Quaker Quick ,375,12.5,6,67.5,10,
Fulgi de ovaz Sanovita,352,13.5,7,58.7,0.5,
Fulgi de ovaz Vollkorn Hafer,366,12.5,7,63,5.4,1 cutie = 500 g
Fulgi de porumb 365,378.5,8,0.5,85.5,0,1 punga = 150 g
Fulgi de porumb Clasic vitamine si fier Rommac,370,6.9,1.5,82.4,3,1 punga = 250 g
Fulgi de porumb corn flakes Agapy,379,5.9,2.3,82.7,1.8,1 punga = 250 g
Fulgi de porumb cu ciocolata Fortza Titan,393.1,8.6,2.7,83.4,0,
Fulgi de porumb cu miere Fortza Titan,423.1,6.6,7.9,81,0,
Fulgi de porumb Distins,376,7.7,1,85.4,1,
Fulgi de porumb fara zahar Pirifan,335,8.2,1.3,72.5,2.1,1 punga = 250 g
Fulgi de porumb fara zahar Solaris,368,8,1.5,85,3.6,1 punga = 250 g
Fulgi de porumb Granovit,371,8.2,1.2,81.8,1.4,1 punga = 250 g
Fulgi de porumb miere si arahide Nestle,401,7.1,4.8,80.4,3.4,1 punga = 250 g
Fulgi de porumb Stilla Natura,384.7,7.9,1.2,84.6,2,
Fulgi de secara,322,9,1.5,66,14.8,
Fulgi de secara Pirifan,352,9.7,2.6,70.8,0,
Fulgi de secara Solaris Plant,322,9,1.5,66,12,1 punga = 500 g
Fulgi din cereale integrale germinate Granovit Alfa-Beta,325,11,3.2,61.8,9,4 linguri mari fara varf = 30 g
Fulgi din porumb cu miere Rommac,357,6.8,0.7,78,0,1 punga = 400g
Fulgi multi grain Sano Vita,320,11.5,1.7,60.8,7,
Fulgi ovaz bio Ota SolGryn,359,13,7,56,10,
Fulgi ovaz extra fini Bulkpowders,361,11,8.1,61.1,8.5,o cupa = 45 g
Fulgi ovaz Flocons d'Avoine Auchan,368,11,7.5,58,12,
Fulgi pentru piure Maggi,350,9,3.4,70.6,5.8,
Fulgi porumb Aro,391,7.8,1.8,85.2,1.4,1 punga = 1 kg
Fulgi porumb imbogatit cu 8 vitamine K Classic,390,8.9,2.2,82.4,2.4,
Fulgi presati din grau integral Sanitarium Weet-Bix,356,12.4,1.4,67,11,1 biscuite = 15 g 
Fusilli Clever,350.6,11,1.2,73,2.5,1 punga = 400 g
Galete din orez 365,380,7.6,3.5,79.1,0,1 felie = 15 g
Germeni de grau,360,23.2,9.7,51.8,13.2,
Germeni de grau Sanovita,350,8.7,10,56.3,1.6,1 lingurita = 5 g
Germeni de soia Cora,23,1.9,0.2,2.4,2,
Gnocchi di patate Bertagni,146,3.5,0.3,32.3,0,
Grau bulgur germinat granovit Solaris,308,13,1.8,58,9,1 punga = 400 g
Grau germinat Carrefour,308,13,1.8,58,9,
Grau seminte,347,14.4,1.8,72,12.2,
Gris bio All Green,350,12,1.5,72,3.5,1 punga = 500 g
Gris de grau,360,12.7,1.1,72.8,3.9,
Gris de grau Hajdu,349,9.4,1,73.4,0,
Gris de la Arpis,352,11,0.9,73,0,
Hrisca,343,13.2,3.4,71.5,10,
Hrisca Bunissimo,347,11.6,2.3,59.5,10,1 punga = 500 g
Hrisca Sano Vita,341,12.6,3.3,68.2,3.7,
Linguine De Cecco,346,13,1.5,70.2,3.5,
Lipie,270,8.1,2.7,51.4,4.1,1 buc = 64 g
Lipie cu ierburi Deli Wraps,319,7.1,7.8,53.8,2.8,"1 lipie = 61,7 g"
Macaroane din grau Noe,355,12,1.5,72,2.8,1 punga = 500 g
Malai Boromir,349,7,1,78,1,
Malai extra Baneasa,348,8.9,1,75.1,0,
Malai extra degerminat Top Apetit,352,7,1,78,0,1 punga = 1 kg
Malai extra Molnar,332,7.5,2,70.2,0,
Malai grisat degerminat Malaiul lui Enache,368,8.7,2,76.6,0,
Malai grisat extra Dobrogea,352,7.2,1,75,0,
Malai pentru mamaliga Spar,350,8,2,78,0,
Malai superior din porumb degerminat No. 1 Carrefour,361,7,1,81,0,
Mei fiert,119,3.5,1,23.7,1.3,
Mini penne rigate piccolini Barilla,355,12.7,2,69.3,4.5,100g
"Muesli bio cu ciocolata 70%, cu alune si cocos Montignac",401,9.9,16.7,52.8,12.7,1 punga = 375 g
Muesli capsuni Goody Vitelle,369,11.1,2.9,69.2,10.8,1 punga = 50 g
Muesli crunchy choco Delhaize Mega Image,379,11.4,15.4,38.5,24.9,1 cutie = 300 g
Muesli crunchy cu ciocolata Stilla Natura,470,9.6,18.6,63,6,
Muesli Stilla Natura ,349,8.2,4,65,10,1 punga = 750 g
Musli 40% Fruit Stilla Natura,371,8.2,4,74.6,7,
Musli bio cu cacao Solaris Granovit,361,11.2,4,7.1,9.2,
Musli cereale integrale cu stafide si migdale Granola,392,11,12,60,10,
Musli cocos Crunchy Coconut Clusters Master Crumble,447,9.3,14.3,66.8,6.7,1 cutie = 750 g
Musli crocant cu alune de padure Goody Morning,475,8.7,20,61,0,1 cutie = 350 g
Musli crocant cu capsuni si mere Vie Sant,334,6.2,4.1,68.7,0,
Musli crocant cu mere si scortisoara Bioking,433,7.6,13.4,68.8,0,100
Musli crocant cu stafide si grau incoltit Vitalis Dr. Oetker,426,9.9,15.4,62.1,7.2,
Musli crunch cu mere si alune SanoVita,403,8,11,68,0,1 punga = 500 g
Musli Crunchy Stilla Natura,455,7.3,15.1,72.2,0,
Musli cu 30% fructe Master Crumble ,334,10,6.4,59.2,9.2,
Musli cu 40% fructe cu 10 vitamine SchneeKoppe Kaufland,319,8.2,4.3,61.3,9.7,1 cutie = 750 g
Musli cu 40% fructe Vitalis,317,7.8,4.6,61.1,9.8,
Musli cu alune Morning Sun,346,10.7,9.3,54.8,11,
Musli cu amestec de nuci Vitalis Plus,475,10.2,23.3,56.1,6.9,1 portie = 40 g
Musli cu capsuni Crunchy Stilla Natura,463,8.4,15,73.3,0,1 cutie = 750 g
Musli cu cereale germinate Granovit,350,10.5,3.1,63.5,8.5,
Musli cu cereale integrale Knusperone,343,9,5.4,59.6,10,
"Musli cu cereale integrale, seminte si fructe Pirifan",370,10.5,6.4,63,9,1 punga = 1 kg
Musli cu ciocolata Vitalis,400,9.8,12.6,62,7.5,1 portie = 40 g
Musli cu fructe 32% K-Classic,359,9.3,6.9,60,10,
Musli cu fructe bio Norma,353,8.7,6.2,61.4,8.5,
Musli cu fructe FineFood,342,10.3,3.5,73.1,11.5,
Musli cu fructe SanoVita,402,9.8,8.3,71.4,4,1 punga = 1 kg
Musli cu fructe uscate Mega image,352,10.2,4.9,62,9.5,
Musli cu fulgi de ciocolata si alune Distins,346,9.6,4,68.2,9.2,
Musli cu iaurt Joghurt Musli Master Crumble Lidl,380,11.8,7.8,61.5,8.2,1 cutie = 500 g
Musli cu mar si scortisoara Rommac,365,7.2,7.1,68,6.7,
Musli cu stafide si alune Stilla,403.8,11.2,9,69,0,1 punga = 750 g
"Musli cu stafide, alune, nuci Stilla Natura",350,10.8,4.6,71.5,10.3,1 punga = 750 g
Musli din cereale intergrale cu stafide si nuci Master Crumble Lidl,368,10.8,9.3,54.9,10.8,1 portie = 60 g
Musli Fit & Active Vollkorn,331,9.8,5.7,60,10,
Musli fructe de padure Sanovita,387,9.6,5.4,70.8,4.5,1 punga = 400 g
Musli Fruits Cora,373,9.5,5.5,68,6.9,1 cutie = 500 g
Musli Goody Morning Choco Crunch Lidl,465,8.3,18,64.2,6.4,1 cutie = 350 g
Musli merisor SanoVita,352,7.5,1.8,72.5,4.5,1 punga = 400 g
Musli Morning Breakfast Goody,373,11.5,6.4,62,0,1 cutie = 350 g
Musli natur All Green,303,9.3,5.2,54.9,8.7,
Musli Vitalis 7 cereale Dr. Oetker,366,12,7.1,58,11,1 cutie = 300g
Naut fiert Darinne,72,4.3,1.3,8.6,0,
Naut uscat Deroni,164,8.9,2.6,27.4,7.6,
Orez alb negatit,365,7,1,80,1,
Orez Atifco,361,6,0.8,82,0.6,
Orez Basmati negatit,347,8,0,76,12,
Orez basmati Panzani,355,8.2,1.1,78,0,1 pachet = 500 g 
Orez Basmati Uncle Ben's,351,9,1.1,76,0.6,1 cutie = 500 g
Orez bob lung Atifco,340,7,0.5,78.4,2.5,1 punga = 1000 g
Orez bob lung Tira Dell,346,7,0.8,77,1.3,
Orez bob rotund clasic de la Carrefour,355,6.4,0.9,80.5,0,1 punga = 1000 g
Orez brun cu bob rotund bio All Green,355,6.4,0.9,80.5,4.3,1 punga = 500 g
Orez brun integral fiert,111,2.6,0.9,23,1.8,
Orez brun integral Riso Scotti,360,7.9,2.6,76.3,4.3,
Orez brun prefiert Panzani gatit,141.8,2.9,2.9,26.1,1,
Orez brun prefiert Sawi,370,7.1,1.9,77,8.7,1 punga = 1 kg
Orez Camolino Atifco Foods,343,6.6,1.2,77.5,2,1 punga = 1 kg
Orez cu bob foarte mare Colosal Scotti,359,6.8,1.4,79.8,1.2,
Orez cu bob lung Noe Riso,346,7,0.8,77,1.3,
Orez cu bob lung Scotti,347,6.7,0.6,78.8,0,
Orez cu bob mare Scotti,334,6.8,0.7,77.5,0,
Orez cu bob rotund Deroni,343,6.8,1.3,76.1,0.7,
Orez Deroni,351,7,1,78,1,
Orez expandat bio Irma,390,7,4,81,0,
Orez expandat cu ierburi aromate Risovital Scotti,382,8.6,1.3,83.3,1.2,
Orez expandat Riso Scotti,381,8.3,3.1,79.9,4.1,1 felie = 8 g
Orez expandat Roppo,365,7,1.8,78,0,1 felie = 10 g
Orez fiert,130,2.7,0.3,28.2,0.4,
Orez instant Riso Scotti,152,3.1,3.9,26,1.6,1 cutie = 250 g
Orez integral Carrefour,360,7.9,2.6,76.3,4.3,1 punga = 125 g
Orez integral Delhaize,337,7.5,2.4,71.5,6,1 punga = 1kg
Orez integral Hacendado,332,7.2,2.9,69.3,7.8,
Orez integral Sannia,342,7.8,2,70.8,4.8,
Orez integral Uncle Ben's,344,8,2.2,73,3.2,1 punga = 125 g
Orez lung prefiert Scotti,353,6.9,0.7,78.8,0,1 punguta  = 125 g
Orez mexican Scotti,163,3.1,5.5,25.3,2.3,
Orez natur Express Panzani,358.7,7.7,2.4,74.7,2,
Orez nefiert Risotto,380,8,0.3,84,0,
Orez pentru pilaf Deroni,334,6.8,1.2,74.1,0.5,
Orez prefiert cu bob lung Panzani Premium,347,7,0.6,78,0,
Orez prefiert Sunshine,357,7.5,0.7,80.2,1,
Orez prefiert Tira Dell Lidl,355,7.6,1,78,1.8,
Orez Risotto selection Scotti,351,6.9,1.3,77,1.9,
Orez rosu Krina,362,7.5,2.7,76.2,3.4,1 cutie = 500 g
Orez Scotti Arlecchino,350,8.8,3,70,4.1,1 punga - 500 g
Orez Sunshine Jasmine,248,8,0,77,0,
Orez thai rosu bob lung Natura Land,360,7,1.5,79,2,
Ovaz desert Dr. Oetker,123,4.2,3.6,18,1.2,
Paine crocanta cu susan si amarant Allos,362,11.5,7.5,61.3,12.5,1 cracker = 10 grame
Paine de secara integrala cu susan burger Kaufand,368,10.8,6,59.8,16,1 felie = 10 g
Paine extrudata Profi,380,11,2.2,78,0,
Paine integrala secara cu amestec cereale Mestemacher,197,6.2,4.7,32.4,8.4,1 felie = 50 g
Paine prajita clasic Eti Mek,401,10.2,4.4,78.4,5,1 pachet  = 125 g
Paine prajita integrala Dia,365,12.6,6.6,63.8,6,1 felie = 9 g
Paine seminte dovleac Ecomania,256,10,0,51,0,1 buc = 500 g
Paine toast Panzucca Savoria,286,7.5,3.8,55.5,3.7,1 felie = 25 g
Panite branza Nutrizzia,412,8.6,12.7,65.1,4,1 buc = 10 g
Panite felii crocante crisp bread Nutrizzia,321,23.2,0.2,54.6,9.7,
Panite felii pufoase grau Nutrizzia,339,11.4,0.8,70.3,13.3,1 buc = 10 g
Panite felii pufoase orez Nutrizzia,379,8,1.1,82.9,2.9,1 buc = 10 g
Panite glazurate Iaurt Nutrizzia,441,8,17.3,61.4,9.7,1 buc = 10 g
Panite integrale Nutrizzia (cereale extrudate),302,10.2,1.5,67.8,15.7,1 buc = 6.25 g
Paste alfabet Panzani,365,13,2,72,3.6,
Paste capellini Barilla,350,12,1.5,72.2,3,
Paste cous-cous cu ou Monte Banato,382,12,1.1,75,0,
Paste cu ou Monte Banato,382,12,1.1,75,0,
Paste din faina de konjac No Carb,9,0.2,0.1,0.6,2.8,1 punga = 250 g
Paste din orez China Reisnudeln,367,7,1,83,1,1 punga = 250 g
Paste elicoidali Granoro,352,12.5,1.5,72,1.8,
Paste fainoase Conchiglie Baneasa,350,11,0.7,75,0,1 punga = 400 g
Paste fainoase cu ou Arnos,365,11.3,3,73.2,0,
Paste fainoase cu ou Divella,365,14.7,3.8,68.1,0,
Paste fainoase D'oro Arpis,350,10,1.1,72,0,1 punga = 500 g
Paste fainoase din faina de secara Karmel,328,9.3,1.7,66.6,14.6,
