Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Icre hering cu ceapa Toppo Lidl,553,1.8,60,1.4,0,
Icre negre (caviar),246,26,15,0,0,
Icre somon,245,32,13,0,0,1 lingurita = 10 g
Inele calamar pane congelate Vita Star,182,6.9,4.3,29,0,1 punga  = 500 g
Lavrac,124,23.6,2.6,0,0,
Macrou afumat ,291,17.6,24.5,0,0,1 bucata =340 g
Macrou afumat Cora,193,21.6,11.8,0,0,
Macrou afumat fara cap Nautica Lidl,271.8,20.7,21,0,0,1 buc = 240 g
Macrou congelat Copanex,163,16,10,1,0,
Macrou file afumat Alfredo,359,16.7,32.3,0,0,
Macrou in sos tomat 365,156,20,8,1,0,
Macrou in ulei Vitae D'Oro Kaufland,388,16,36,0,0,1 conserva = 170 g 
Macrou marinat Carrefour,110,6.9,3.2,2.7,0,
Merlan crud,90,18.3,1.3,0,0,
Merluciu Alfredo,81,18,1.6,0,0,1 punga = 500 g
Midii crude,86,11.9,2.2,3.7,0,
Midii in sos Bon Appetit,207,15.2,14.1,4.7,0,1 conserva = 77 g
Muslitos din surimi Del Mare,133,7.4,1.8,22.3,0.5,1 buc = 30 g
Novac,110,19.6,3,0.8,0,
Pangasius,90,13,4,0,0,
Pasta cu somon maruntit Natturia,205,5.2,15,12,0,1 cutie = 150 g
Pasta de somon cu migdale Lidl,229,12.4,19.1,2.8,1.9,1 cutie = 45 g
Pastrama macrou afumat  Gran Mare,228,21,16,0,0,1 buc = 150 g
Pastrav crud,148,20.8,6.6,0,0,
Pastrav de cultura crud,138,20.9,5.4,0,0,
Pastrav eviscerat Fresh Fish Today Lidl,86,17,2,0,0,1 cutie = 500 g
Pastrav file afumat Nautica,127,20.6,4.7,0,0.1,1 file = 60 g
Pastrav gatit,190,26.6,8.5,0,0,
Pastrav proaspat Fresh Fish Lidl,86,17,2,0,0,
Pate de somon Mandy,174,5.9,13.7,6.8,0,1 conserva = 120 g
Pate de somon Rio Mare,198,14,14,4,3,1 borcan = 125 g
Pate de ton alla Siciliana Calaciura,218,20.6,14.4,0.9,0,1 borcan = 210 g net
