Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Stafide Profi,286,2.5,6.7,65,0,1 punga = 100 g
Stafide Suntree,305,2.5,0.6,68.6,5.2,1 punga = 100 g
"Suc de lamaie natural, fara zahar",25,0,0,9,0,
Suc grapefruit roz Delhaize,33,0.5,0.1,7.3,0.2,1 cutie = 1l
Sweetie,65,0.7,0.7,14.5,2.6,
Tamarinde,239,2.8,0.6,62.5,5.1,
Visine (congelate),48,0.5,0,10.8,1.5,
Visine fara samburi Hortex,47,0.9,0.4,9.9,1.5,
Zmeura,52,1.2,0.7,11.9,6.5,
Zmeura Alfredo Foods,25.6,0.6,0.2,5.9,2,1 pachet = 250 g
Zmeura congelata First Fruit,25,1.4,0.3,4.6,0,
Zmeura congelata Kaufland,95,1.3,0.6,16,0,
Zmeura congelata Rewe,49,1.1,0.8,7.3,0,
Afine bio congelate Ecofruct,66,0.7,0.6,13.9,2.7,
Afine Edeka,38,0.6,0.1,6.3,0,
Agrise,44,0.9,0.6,10.2,4.3,
Amestec de fructe uscate Alesto,244,3.3,1.5,46.1,8.6,
"Amestec de goji, merisoare si agrise Mega Image",734,15.4,5.8,156.3,0,1 punga = 200 g
Amestec fructe de padure congelate K-Classic,59,1,0.5,10.1,0,1 punga = 400 g
Amestec fructe de padure Crop's,38,0.9,0.5,5.6,2.7,1 cutie = 300 g
Ananas bucati in sirop slab indulcit Clever,70,0,0,17,1,
Ananas compot rondele si suc,60,0.4,0.1,15.7,0.8,
Ananas felii Kaufland Classic,64,0.3,0.1,14.9,1,1 cutie = 340g net
"Ananas, proaspat",48,0.4,0,12,1.4,
Aronia deshidratate,284,2.3,2.4,54.9,16.9,100 g
Banane,89,1.1,0.3,22.8,2.6,1 buc = 170 g
Caise,48,1.4,0.4,11.1,2,
Caise deshidratate Fruit Orchard,240,3,0.5,63,7,1 punga=200 g
Caise deshidratate Orlando's,269,3.4,0.6,62.6,7.3,
Caise uscate,241,3.4,0.5,62.6,7.3,
Capsuni congelate,35,0.4,0.1,9.1,2.1,
Capsuni congelate Green Grocer's,28,0.7,0.4,4.6,1.8,
Capsuni congelate K-Classic,28,0.7,0.5,4.6,1.8,400
Capsuni congelate Kaufland,35,0.8,0.5,5.5,1.6,
Carambola,31,1,0.3,6.7,2.8,
Catina,52,0.9,2.5,10.2,4.7,
Chips din nuca de cocos Whole foods,606,5.6,62,6.4,0,0
Cirese confiate rosii Orlando's,290,0.5,0,70,4,
Clementine,47,0.8,0.2,12,1.7,
Coacaze negre (congelate),50,0.4,0.7,12.1,2.9,
Coacaze negre uscate Bio Natura,261,2.5,0.6,61.1,5.4,
Coacaze rosii (congelate),33,1.2,0,5.3,2.8,
Coaja de lamaie proaspata,47,1.5,0.3,16,10.6,1 lingurita = 3 g
Cocktail fructe Sweet Valley ,63,0.5,0.1,14,1.7,
Compot ananas,49,0,0,12.3,0.8,
Compot ananas in suc slab indulcit Merve,62.3,0,0,12.1,1.4,1 cutie = 340 g
Compot ananas Royal Umbrella,57,0,0,14,1,
Compot de ananas bucati Bitar,62.7,0.3,0.2,14.6,0,1cutie = 565 g
Compot de ananas clasic Kaufland,63,0.3,0.1,14.9,1,1 cutie =  560 g
Compot de cirese Raureni,74.3,0,0,19.5,1.1,
Compot de pere,99,0.3,0,23.7,1.7,
Compot de piersici Delphi,76,0.5,0.5,17,0,1 borcan = 330 g
Compot de visine,90,0.6,0,20.8,1.4,
Compot din fructe de vara Yeo Valley,71,0.7,0.1,16.9,2,
Compot prune slab indulcit 365,63,0,0,16,1,1 borcan = 700 ml
Compot zmeura Kaufland,84,0.8,0,16.9,0,
Conserva ananas Mega Image 365,74,0.5,0,17.4,1,1 conserva = 340 g net
Conserva de ananas bucati in sirop Victory,90,0,0,22,2,1 cutie = 565 g
Curmale (presate),286,2.4,0,73.8,7.1,
Curmale deshidratate Elmas,268,1.7,0.2,67,6,1 punga = 200 g
Curmale deshidratate fara samburi Fruit Orchard,307,1.3,0.6,74,8,1 punga = 200 g
Curmale deshidratate Orlando's,329,2.5,0.4,75,8.3,1 cutie = 500 g
Curmale fara samburi cu fistic Jasmin,309.5,4.3,4.8,61.5,8.2,1 pachet = 50 g
Curmale proaspete,282,2.5,0.4,75,8,
Curmale Solaris,340,0.8,0.2,81.8,0,1 cutie = 200 g
Dovleac razuit pentru placinta Gusturi Romanesti ,47,1.2,0.9,8.5,3,1 borcan = 720 g
Dulceata de fructe asortate,252,1,0,60,3,
Dulceata zmeura 100% fructe Bonta d'Italia,157,0.9,0.2,38,2.9,1 borcan = 240 g
Fragi,32,0.9,0.3,7.2,2,
Fruct mix SanoVita,304,2.4,0.8,71.8,0,1 caserola = 150 g
Fructe de aronia uscate,320,2.5,0.4,75,0,
Fructe de padure congelate,34,0,0,9.1,3.6,
Fructe de padure congelate Greens,45,1.4,0,5.7,0,1 punga = 450 g
Fructe de padure congelate Pagnan,26,0.9,0.2,5.8,0,
Fructe padure congelate Greens,36.7,1.2,0.4,7.1,3.5,
Fructul pasiunii,97,2.2,0.7,23,0,
Fulgi de cocos Alipende,688,16.2,66.6,6,0,
Fulgi de cocos deshidratat Sanovita,632,6.3,65,7,0,
Fulgi de cocos Orlando's,632,5.2,52.8,24,15.6,
Fulgi de cocos Tesco,709,6.8,65.5,17.7,0,1 punga = 200 g
Gem de caise dietetic cu indulcitori Arovit,107,0.7,0.1,25.2,0,
Gem de caise light Duble Fruit,133.3,0.6,0,33.3,0,
Gem de prune Sympatica,209,1.1,0.4,48.9,0,1 borcan = 430 g
Gem de zmeura la borcan,263,1.5,0,63.3,7.5,
Gem fructe de padure dietetic cu indulcitor Arovit,98.6,0,0.1,25,0,
Goji deshidratate Orlando's,351,14.4,1.1,70,2,1 punga = 180 g
Goji uscate ,371,14.3,0,85.7,14.3,
Goji uscate Detelina's,284,13,2.2,49,8,1 pachet = 90 g
Grapefruit alb,33,0.6,0.1,8.1,1.1,
Greek Pitted Kalamata Olives Sainsbury's,205,1.6,21.4,0.5,3.2,1 borcan = 180 g net
Gutui,57,0.4,0.1,15,2,
Kiwano,25,1,0,3,1,1 buc = 100 g
Kiwi deshidratat Orlando's,326,5.1,2.3,65.9,9.8,
