Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Paine integrala de secara Pema,193,5,1,36,9,"1 felie = 62,5 g"
Paine integrala Estilo Mediterraneo,284,10.7,2.9,50.6,3,1 felie = 40 g
Paine integrala feliata  Bongrana,262,10.5,4.9,39.7,8.4,1 felie = 20 g
Paine integrala Fitness Mestemacher,172,6,1.8,33,8.4,
Paine integrala HapiHap Titan,217,15.4,0.6,38.3,1.6,
Paine integrala Neptun Dobrogea,225,8.8,1.3,43,7.5,
Paine integrala Panemar,243,11.1,0.5,48.5,8,1 paine=400 g
Paine integrala toast feliata Vollkorn Tesco,231,10,2.3,42.7,5.3,1 felie = 25 g
Paine intermediara,246,9.8,1,47.9,3.7,1 felie = 25 g
Paine la forma feliata Neptun Dobrogea,245,9.3,2,46,0,1 felie = 24 g
Paine Lady Puravita Fibre,186,7.1,3.5,31.4,4,
Paine low carb dietetica din faina Konjac,157.3,9.7,8.5,2.3,16.3,
Paine mediteraneana Bonpana,289,11,6,42,2,1 felie = 21 g
Paine multicereale Biaform Colruyt,246,10.6,3.6,37.9,9.7,1 punga = 500 g
Paine multicereale Gliga,255,11.3,3.9,43.6,3.7,
Paine multicereale Verival,222,9.5,4.1,38.7,13.1,
Paine neagra,249,8.5,0.8,50.6,5,1 felie = 25 g
Paine neagra cu cartofi feliata Boromir,255.4,8.9,1.5,51.6,6,1 felie = 25 g
Paine neagra cu secara feliata Vel Pitar,229,7.3,1.4,47,0.9,
Paine neagra cu tarate facuta in casa Dark,276,8.4,4.4,52,1.4,
Paine neagra feliata Deplina Velpitar,215,15,0.4,35,5.9,
Paine neagra Pumpernickei Haverland,211,5.3,1.6,39,9.5,
Paine neagra rotunda feliata Titan,259,8.7,2.2,48,5.9,1 paine = 500 g
Paine pentru sandwich 8 cereale Bimbo,248,11,2.2,38,16,
Paine prajita biscottes Auchan,400,9.5,7.5,71,5,1 felie = 8 g
Paine prajita Booivakn,364,14.9,6.8,60.9,9.7,1 felie = 8.5 g
Paine prajita cu faina integrala Fette Biscottate,379,12,6,69.2,7.5,1 felie = 7.9 g
Paine prajita fara sare Delhaize Mega Image,366,16,1.5,72,6.5,1 felie = 8.33 g
Paine prajita integrala Buitoni,391,11.4,5.8,73.4,4.3,1fel = 7.5g
Paine prajita mini toast Delhaize Mega Image,393,10.9,3.7,79.6,1.9,
Paine prajita Top Budget,410,10.5,7.5,75,0,1 punga = 225 g
Paine ProVital,270,21.3,13.1,10.3,12.6,
Paine Rustikorn Tac Tac,237,8.1,1.1,48.7,3.2,
Paine secara Clase Noire,235,12,3.1,35,9.1,1 felie = 25 g
Paine secara hipocalorica Natura Land,168,5.2,1.4,33.8,11,1 felie = 50 g
Paine secara Pan Negro Mega Image,178,5.4,1.4,35.3,11.9,1 felie = 55 g
Paine secara Ryvita,317,8.5,1.7,66.9,16.5,1 felie = 10 g
Paine Silueta Vel Pitar,250,9.5,3.5,47,0,1 felie = 15 g
Paine speciala light Vita Star,171,5,3,34,9,
Paine specialitate cu graham si secara Keine Touch,239,10.2,2,48.8,7.3,1 felie = 17 g
Paine tarate de casa,126,5,3,27,10,1 felie = 120 g
Paine toast 100% faina negra ToasTina,252,14.1,2.8,42.6,8,
Paine toast Bongrana Sana,240,15,4,35,7,1 paine = 500 g
Paine toast clasic Vita Star,256,9.4,2.1,51.8,3.8,
Paine toast cu faina macinis integral Bongrana Drobogea,262,10.5,4.9,39.7,8.4,
Paine toast cu malt Franzeluta,220.1,8.3,4,39.9,0, 
Paine toast cu secara Vita Star,253,10.4,2.8,49.6,5.9,
Paine toast din grau integral Auchan,361,12,8.5,59,10,2 felii = 25 g
Paine Toast Fin Savoria,210,8.1,1.3,44.2,6.2,
Paine toast graham Breadies,256,7.7,4.5,44.5,0,1 felie = 25 g
Paine toast graham Real quality,246,10,2.5,43,5.5,1 felie = 25g
Paine toast Heimili,271,9,3,52,0,
Paine toast integral K-Classic,256,16,3.3,41,1.4,1 felie = 25 g
Paine toast intergal Cora,252,9.7,2.4,42.9,10.1,1 punga = 600 g
Paine toast prajit Delhaize,366,16,1.5,72,6.5,1 felioe= 8.3 g
Paine toast secara Bongrana,256,10.7,3.7,43.4,6,
Paine toast secara Castello,285,12,5,46,6,1 felie = 25 g
Paine toast secara Lacestera,250,10.7,3.2,41.7,5.3,
Paine ultrafibre Bongrana Dobrogea,240,15,4,35,7,
Paine uscata cu fibre Burger,341,10.5,4.5,54.2,21,1 craker = 10 g
Painea Brutarului alba rotunda Lidl,283,7.9,3.8,54.3,2,
Painea brutarului neagra rotunda Lidl,238,9.6,2.3,42.4,4.9,1 paine = 500 g
Painici crocante aurii Dll,394,9.5,8,71,6.1,1 punga = 225 g
Painisoare cu lapte Kaufland,338,8.9,9.2,54,2,1 buc = 40 g
Pasca cu usturoi Carrefour,338,10.3,1.6,69.4,0,1 felie = 13 g
Paste tricolore Baneasa,346.5,13,1.5,68,4.5,
Pine feliata PanCarre,284,7.7,5.3,51.3,2.4,1 felie = 16.5 g
Pita integrala Hatting,260,8,3,49,4,1 buc = 50 g
Specialitate hipoglucidica Vel Pitar,229,17.2,2.8,30.5,11,1 felie = 16 g
Toast crocant cereale 365,373,11,4,73.2,6.5,
Tortilla Auchan,323,9.3,7,54.2,2.9,1 bucata = 40 g
Tortilla integral Santa Maria,300,8.5,6,51,5,
Tortillas Auchan,323,9.3,7,54.2,2.9,1 bucata = 40 g
Turte de orez Aldi R,386,7.2,3.5,80.3,3.3,1 buc = 6.6 g
Wasa burger susan Kaufland,368,10.8,6.8,59.8,16,1 felie = 11 g
Amestec paine 6 cereale Bauck Hof,352,10.2,2.2,72.9,0,1 punga = 500 g
Bagheta frantuzeasca,277,8.6,4.3,50.2,3.2,
