Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Supa fidea de preprare rapida cu gust de pui Rolton,452,8.7,21.1,56.7,0.1,
Supa instant broccoli Mammita,32,1.1,1.1,4.3,0.3,1 portie = 200 ml
Supa instant cu fidea si gust de pui Rollton,452,8.7,21.1,56.7,0.1,1 punga = 60 g
Supa instant pui si crutoane Mammita,90,1,4,12,0.3,1 portie = 200 ml
Supa instant rosii Mammita,35,0.7,0.1,7.5,0.3,1 portie = 200 ml
Supa noodles Mammita,87,1.8,3.6,11.9,0,Valoari nutritive in 100 ml dupa preparare
Taitei cu file din piept de pui Lidl,102,6.7,3.9,8.9,2.2,
Tortilla pui fajita Snack Attack,238.1,11.9,4.6,35.8,0,1 buc = 220 g
Aripioare de pui McDonalds,291,16,20.4,12.1,0.5,1 portie 5 aripioare = 206 g
Aripioare picante KFC,320,20.3,21.8,10.7,0.1,1 buc = 20 g
Bagheta bistro cu salam Dr.Oetker,246,8,10,29,0,1 felie = 125 g
Big Mac McDonalds,252,10.4,12.7,18.8,1,1 buc = 240 g
Bucatele de pui cu sos Frosta,220,10.8,18.5,11.5,0,
Burger vegetal Mega Image,291.2,16.5,20.6,9.1,6,1 cutie = 210 g
Cartofi gratinati congelati Delhaize,116,3.9,5.8,12.1,2.3,1 cutie = 400 g
Cartofi prajiti KFC,311,3.6,15.6,39.2,3.7,
Cartofi taranesti KFC,197,2.9,8.6,27,3.5,1 portie = 140 g
Cartofi wedges McDonalds,355,6,18,43,3,
Chicken McNuggets McDonalds,297,15.6,18.8,17,0,1 buc = 16 g
Chiftele preparate Selgros,259.3,16.2,16.7,9.3,0.4,1 chiftea = 175 g
Chili con carne Viva OMV,121,7,5,11,4,1 portie = 300 g
Coasta pui reteta originala KFC,230.2,25.3,11.8,5.9,0,1 buc = 149 g
Conserva fasole boabe cu carnaciori afumati Masa Boiereasca,124,5.9,6.2,15,4.8,1 cutie = 300 g
Cordon bleu Baroni Lidl,238,9.2,14,18.8,0,1 buc = 125 g
Cordon bleu de pui Glenfell Lidl,157,17,3.5,14,0.7,1 cutie = 500 g
Crochete vegetale (falafel) Al Wadi,411,14,22,40,0,1 buc = 10g
Cubulete din piept de pui Sav'or,92,20,2,3,0,
Double cheeseburger McDonalds,266,15.2,14,20.6,1,1 buc = 165 g
Enchiladas de pui cu sos de rosii si casval Maheso,157,9.7,6.8,14.2,0,1 cutie = 280 g
Fasole barbecue KFC,79.2,5,0.7,19,5.7,1 portie = 250 g
Filet-o-fish McDonalds,267.6,10.5,12.7,26.8,1.2,1 buc = 142 g
Foietaj baton cu branza dulce Fornetti XXL,340.2,7.4,16.5,40.5,0,
Foietaj cocos si crema de ciocolata Fornetti,266,7.9,9.1,36.3,0,
Foietaj cu cascaval Fornetti,357,9.5,17.2,38.5,0,1 buc = 30 g
Foietaj cu crema de vanilie Fornetti,456.9,5.8,28.8,45.9,1,1 buc = 40 g
Foietaj cu gem de caise Fornetti,258,7.8,8.1,36.8,1,1 buc = 30 g
Foietaj cu mac Fornetti,258,7.7,6.2,41.1,1,1 buc = 30 g
Foietaj cu nuca Fornetti,264,8.1,6.8,40.8,0,
Foietaj cu sunca si ciuperci Fornetti Pontino,296,12.8,10.7,35.2,1,1 buc = 30 g
Foietaj fagure visine si budinca Fornetti XXL,324.8,5.9,14.5,42.6,0,
Foietaj melc cu caramel Fornetti,395,8.4,18.1,46.9,0,
Foietaj melc cu nuca Fornetti,389,11.1,27,35.4,0.1,
Foietaj pernita cu gust de ciocolata Fornetti XXL,377.4,7.4,18.1,45.3,0,
Foietaj trigon cu caise Fornetti XXL,316,8.3,10.6,44.9,0,
Foietaj Twist cu crema de branza si bacon Fornetti XXL,373,12.4,18.5,36.8,0,
Fructe si nuci Nut Snack Farmer's Snack,490,14.9,34.2,30.6,0,1 punga = 200 g
Hamburger Double Whooper Burger King,990,52,64,52,3,0
Inele de ceapa pane Burger King,336.4,4.8,16.9,41.1,3.5,
Instant Noodles Mammita,442,9.3,17.7,61,0,1 punga = 60 g
Lasagna Bolognese Mega Image,135,8,6,11.6,0,1 portie = 400 g
Lasagna vegetala  Alberto,164,4,10,15,0,1 cutie = 400 g
Lipie mica integrala Calif,197,6.1,2.7,38.2,3.8,
McPuisor McDonalds,185.3,7,7,23.7,2,1 buc = 143 g
Mini fileuri KFC,298.3,19,17.7,15.5,0,1 buc = 20 g
Mini pizza picant Pontino Fornetti,280,12.6,9.2,34.8,0,
Nuggets de pui Antonio y Ricardo,219,11.8,10.3,19.8,0,
Nuggets pui Frosta,220,10.8,11.5,18.5,0,1 bucata = 23 g
Nuggets pui traditional Sadia,251,12.8,16.4,13,2.9,1 cutie = 300 g
Orez cu legume KFC,150,4,1,32,2,
Parjoale 365,268,20.2,18.9,4.1,0,
Pateuri cu branza Bella,388,4.3,32,17.8,0,1 pateu = 24 g
Pernita cu ficatei Fornetti XXL,357.2,9.3,20.6,33.7,0,
Piept pui reteta originala KFC,237.7,22.6,12.4,9,0.1,
Pizza capriciosa Ristorante Dr. Oetker,225,8,8.5,29.3,3,1 pizza = 340 g
Pizza congelata bagheta Diavolo Bistro Dr. Oetker,234,7.1,10.4,28,1.5,1 buc = 125 g
Pizza congelata prosciutto Bon Giorno Dr. Oetker,234,10.1,10.9,23.8,2.8,1 cutie = 265 g
Pizza cu chorizo Lidl,234,9.2,8.5,29.1,2,1 cutie = 330 g
Pizza cu salam Real,219,8.4,9.7,23.1,1.1,
Pizza cu ton Dr.Oetker,218,9.2,7.7,27.9,0,
Pizza Ham&Mushrooms Toppo Lidl,199,7.2,6,27.7,0.5,1 cutie = 270 g
Pizza Margherita Trattoria Alfredo,221,9.3,4.8,31.5,0,1 buc = 300 g
Pizza picanta Tesco,250,11.6,9.6,28.3,1.1,1 buc = 374 g
Pizza prosciutto Dr.Oetcker,220,9.7,8.2,27,2.9,1 buc = 250 g
Pizza Quatro Fromagi Trattoria Alfredo,240,10.6,8.5,29,0,1 pizza = 400 g
Pizza Rossa sunca si ciuperci,194,7,6,28,0,1 buc = 240 g
