Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Conserva fasole rosie Home Garden,167,12.4,0.9,26.6,2.6,1 buc  = 220 g
Conserva fasole uscata cu tomate Heinz,79,4.7,0.2,12.9,3.7,
Conserva fasole verde pastai fine D'Aucy,22.9,1.7,0.1,3.8,2.8,1 conserva neta= 220 g
Conserva linte Divella,54,4,0.3,6.8,4,1 conserva neta = 240 g
Conserva mazare bio Delhaize,292,24.6,1.2,45.6,0,
Conserva mazare cu morcovi Bonduelle,56,3.1,0.3,10.2,0,
Conserva mazare fina Maxim's,68,6,0.3,10,5,1 cutie = 780 g
Conserva mazare Just,40,2.1,0,9,2,1 cutie = 442 g
Conserva mazare si morcov Cora,52,2.6,0.3,7.5,4.3,1 cutie = 130 g net
Conserva mazare verde boabe Jamar,52,4,0,6.6,0,
Conserva mazare Winmark,49,3.6,0.2,8.1,0,
Conserva naut  boabe Sun Food,72,4.3,1.3,8.6,10,1 cutie = 240 g
Conserva naut Cidacos,90,6.1,1.1,14,2.8,
Conserva naut Maxim's,72,4.6,1.3,6.7,4.5,1 cutie = 240 g
Conserva pastai Bennet,17,1.1,0.2,2.7,3,100
Conserva porumb dulce 365,120,3,1.3,22.4,3.3,1 cutie = 340 g
Conserva porumb dulce boabe D'Aucy,95,3.4,1.7,16.5,3.6,
Conserva porumb dulce Gradina Bunicii,109,2.9,1.2,20,0.6,
Conserva Porumb dulce Home Garden,102,2.9,1.2,19.7,0,1 cutie = 220 g
Conserva rosii cubulete K-Classic,20,1.3,0.4,3,0,1 cutie = 400 g
Conserva rosii cuburi Cora,21,1,0.2,3.4,0.9,1 cutie = 400 g
Conserva spanac Cora,17,2.8,0.3,0.8,3,
Conserva sparanghel verde Cody,15,2,0,2,1,
Cutie fasole rosie Auchan,84,5.8,0.3,14.6,9.7,1 cutie = 400 g
Dovleac copt,20,1,0,5,2,
Dovleac ras la cutie,34,1.1,0.3,8.1,2.9,
Dovlecei fierti,16,0.6,0.1,3.9,1.4,
"Fasole (congelata, semi-preparata)",60,9.8,0.5,28,9,
Fasole Adzuki Biona,130,7.5,0.1,24.8,6,1 conserva = 230 g
Fasole alba Bob Gustos Deroni,353,20.2,1.5,57.7,4.5,
Fasole alba Clever,75,5.5,0.5,11.5,5,
Fasole batuta 365,218,11.2,5.9,34.8,9.7,1 cutie = 250 g
Fasole batuta Delta ,310,22,1.5,51,2,
Fasole boaba rosie Carrefour,111,8.1,0.8,14,7.5,1 cutie = 240 g net
Fasole boabe fiarta,132,8.9,0.5,23.7,8.7,
Fasole boabe fierte Spania Divella,57,4.9,0.6,7.3,7.4,1 cutie = 240 g
Fasole bob in saramura Spring,323.1,22.3,1.7,54.5,0,1 cutie = 120 g net
Fasole extra fina la cutie Cora,78,6.3,0.4,12.3,5,1 cutie = 530 g net
Fasole galbena Carrefour,31.5,1.9,0.5,3.1,3.4,1 punga = 1 kg
Fasole galbena congelata Iglo,29,2.5,0.3,4.2,0,1 punga = 450 g
Fasole galbena fiarta,35,1.9,0.3,7.9,3.3,
Fasole galbena intreaga Edenia,33,1.9,0.1,4.3,3.8,1 punga = 450 g
Fasole galbena pastai congelata Casa Taraneasca,32,4,0,4.3,3.5,
Fasole galbena pastai ecologica Gusturi Romanesti,31.6,1.8,0,6,0.8,1 buc = 380 g net
Fasole in sos de tomate K-Classic,96,5.1,1,14,5.3,1 cutie = 420 g
Fasole neagra ecologica Fruit Orchard,301,21.3,1.6,47.8,23.2,
Fasole rosie Cerio,260,21.3,1.6,40,0,1 punga = 1 kg
Fasole rosie D'aucy,115,7.9,0.6,17.1,5,1 cutie = 400 g
Fasole rosie Red Kidney Beans K-Classic,110,7,0.6,16,6.2,
Fasole uscata conserva Haricots Auchan,90,5.7,0.5,11.9,0,1 cutie = 530 gr net
Fasole uscata mung,235.5,17.7,0.8,44.4,13.3,
Fasole verde,31,1.8,0.1,7.1,3.4,
