Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Muschi tiganesc neafumat Cris-Tim,153.8,16,9.3,1.7,0,
Parizer,219,11.9,18.2,0.2,0,1 felie  = 10 g
Parizer afumat Cris-Tim,239.6,11.3,20.7,2,0,
Parizer Alpinia,243,11,20.3,3.4,0,
Parizer cu ardei Carrefour,138,10,10,2,0.7,1 pachet = 200 g
Parizer cu ardei Reinert,302,8,30,0.1,0,
Parizer cu pui Alpinia,208.4,11.1,16,5,0,
Parizer curcan Poienita,126,12.7,7.9,0.3,0,
Parizer de porc Gebirgsjager,286,12,26,1,0.3,
Parizer piept pui Aldis,277,13,23,3,0,1 felie = 10 g
Parizer porc Aldis,284,12,25,1,0,
Parizer pui Cris-Tim,237.1,11.1,19.1,5.1,0,
Parizer taranesc de porc Cris-Tim,214.7,11.6,16.8,4.3,0,
Parizer taranesc Real,226,15,18,1,0,
Pasta de ficat Unicarm,320.6,9.9,29.3,1.8,0,
Pastrama crud-uscata afumata feliata Gusturi Romanesti,154,33,2,1,0,
Pastrama de pasare,123,16.3,4.3,3.7,0,
Pastrama de porc feliata Auchan,152,17.9,6.6,0,0,
Pastrama de porc Matache Macelaru',95,17.5,1.7,2.5,0,1 pachet = 100 g
Pastrama de pui Caroli,158,16,2,10,0,
Pastrama din piept de pui Campofrio,94.5,16,2,2.5,0,
Pastrama haiduceasca  porc Cris-Tim,95.5,20.7,1.2,0.5,0,
Pastrama piept de pui Aldis,104,22,1,1,0,
Pastrama piept pui Poiana Marului,125,17,4,5,0,
Pastrama porc Aldis,281,14,24,0,0,
Pastrama pui Cris-Tim,133.7,15.3,6.6,3.3,0,
Pastrama taraneasca afumata feliata de porc Gusturi Romanesti,190,32,6,2,0,1 pachet = 80 g
Pastrama vita,146,21.8,5.8,0,0,
Pastrama vita Matache Macelarul,102.2,20.4,1.8,1.1,0,1 pachet = 100 g
Pate din ficat de porc Pikok Lidl,234,9.5,20.5,2.8,2.3,1 cutie = 150 g
Pate pui Cris-Tim,162.7,10.4,11.4,4.7,0,
Pate vegetal cu ciuperci Angst,290,4.9,27.9,4.9,0,
Piept afumat crud uscat Premium,272,22,20,1,0,1 cutie = 80 g
Piept curcan Fineo,102,20,2,1,0,
Piept de pui afumat Caroli,102,20,2,1,0,
Piept de pui afumat Pikok,110,20,2,1,0,
Piept de pui cu piper Perutnina,102,18,2,3,0,"1 felie = 12,5 g"
Piept pui Carre Carniprod,191.4,18,13,0.6,0,
Polonezi Angst,238,11.4,25.6,2,0,
Prosciutto cotto Citterio Sofficette,90,16.8,2.4,0.4,0,
Prosciutto crudo 365,228,26.2,13.6,0.2,0.5,1 pachet = 100 g
